,Unnamed: 0,accession_number,year,r,g,b,hex,value
2818,2818,D27572,1826,242,235,218,#f2ebda,2190
2809,2809,D27563,1826,242,235,219,#f2ebdb,2205
1895,1895,D20216,1826,242,237,214,#f2edd6,2220
1896,1896,D20217,1826,247,242,223,#f7f2df,2235
1975,1975,D20775,1827,36,36,35,#242423,15
1970,1970,D20607,1827,40,40,41,#282829,30
1972,1972,D20612,1827,41,41,41,#292929,45
2009,2009,D22687,1827,71,72,66,#474842,60
2355,2355,D24836,1827,89,89,83,#595953,75
1982,1982,D20817,1827,90,91,79,#5a5b4f,90
1990,1990,D22668,1827,93,83,65,#5d5341,105
1989,1989,D22667,1827,100,86,68,#645644,120
4456,4456,D41414,1827,105,115,111,#69736f,135
2043,2043,D22723,1827,107,98,80,#6b6250,150
2089,2089,D22773,1827,109,105,90,#6d695a,165
2303,2303,D24779,1827,109,106,86,#6d6a56,180
2010,2010,D22688,1827,111,77,57,#6f4d39,195
2075,2075,D22756,1827,111,108,96,#6f6c60,210
2080,2080,D22761,1827,111,122,115,#6f7a73,225
2357,2357,D24868,1827,112,120,114,#707872,240
2056,2056,D22737,1827,113,113,97,#717161,255
2016,2016,D22694,1827,115,111,95,#736f5f,270
1995,1995,D22673,1827,117,104,88,#756858,285
2035,2035,D22713,1827,118,98,75,#76624b,300
2041,2041,D22720,1827,119,119,106,#77776a,315
2054,2054,D22735,1827,120,109,93,#786d5d,330
2335,2335,D24815,1827,120,119,105,#787769,345
2092,2092,D22776,1827,121,106,84,#796a54,360
2049,2049,D22730,1827,121,117,107,#79756b,375
2042,2042,D22721,1827,121,120,103,#797867,390
2091,2091,D22775,1827,122,113,91,#7a715b,405
2038,2038,D22717,1827,122,119,97,#7a7761,420
2025,2025,D22703,1827,123,108,91,#7b6c5b,435
2052,2052,D22733,1827,123,110,97,#7b6e61,450
2081,2081,D22762,1827,123,114,102,#7b7266,465
2046,2046,D22727,1827,123,115,105,#7b7369,480
2036,2036,D22714,1827,123,125,115,#7b7d73,495
2033,2033,D22711,1827,123,128,124,#7b807c,510
2001,2001,D22679,1827,125,104,86,#7d6856,525
2047,2047,D22728,1827,126,110,91,#7e6e5b,540
2048,2048,D22729,1827,126,119,102,#7e7766,555
2051,2051,D22732,1827,126,125,109,#7e7d6d,570
2055,2055,D22736,1827,126,129,120,#7e8178,585
2061,2061,D22742,1827,127,109,89,#7f6d59,600
2060,2060,D22741,1827,127,118,102,#7f7666,615
2018,2018,D22696,1827,127,130,125,#7f827d,630
2088,2088,D22771,1827,129,122,111,#817a6f,645
2000,2000,D22678,1827,131,119,106,#83776a,660
2083,2083,D22764,1827,132,122,105,#847a69,675
1997,1997,D22675,1827,133,123,107,#857b6b,690
2361,2361,D24896,1827,133,131,110,#85836e,705
2045,2045,D22726,1827,133,133,121,#858579,720
2034,2034,D22712,1827,133,144,139,#85908b,735
2058,2058,D22739,1827,134,118,94,#86765e,750
2015,2015,D22693,1827,134,121,106,#86796a,765
1998,1998,D22676,1827,134,123,107,#867b6b,780
2360,2360,D24895,1827,134,138,127,#868a7f,795
2872,2872,D27628,1827,134,144,138,#86908a,810
2072,2072,D22753,1827,135,119,93,#87775d,825
1991,1991,D22669,1827,136,122,103,#887a67,840
2084,2084,D22765,1827,136,128,114,#888072,855
2053,2053,D22734,1827,136,136,120,#888878,870
2023,2023,D22701,1827,136,137,131,#888983,885
2359,2359,D24893,1827,136,138,124,#888a7c,900
2005,2005,D22683,1827,137,114,95,#89725f,915
2013,2013,D22691,1827,137,117,105,#897569,930
2082,2082,D22763,1827,137,136,127,#89887f,945
2076,2076,D22757,1827,137,138,129,#898a81,960
2064,2064,D22745,1827,138,134,124,#8a867c,975
2017,2017,D22695,1827,138,135,124,#8a877c,990
2079,2079,D22760,1827,138,148,144,#8a9490,1005
2065,2065,D22746,1827,139,130,116,#8b8274,1020
2037,2037,D22715,1827,139,135,115,#8b8773,1035
2039,2039,D22718,1827,139,140,125,#8b8c7d,1050
2011,2011,D22689,1827,139,144,134,#8b9086,1065
2057,2057,D22738,1827,140,127,98,#8c7f62,1080
2021,2021,D22699,1827,140,127,111,#8c7f6f,1095
1985,1985,D22663,1827,140,128,107,#8c806b,1110
2024,2024,D22702,1827,140,137,124,#8c897c,1125
2069,2069,D22750,1827,140,139,128,#8c8b80,1140
2029,2029,D22707,1827,140,140,132,#8c8c84,1155
2320,2320,D24799,1827,141,119,101,#8d7765,1170
2062,2062,D22743,1827,141,120,94,#8d785e,1185
2002,2002,D22680,1827,141,126,108,#8d7e6c,1200
2073,2073,D22754,1827,141,129,116,#8d8174,1215
2143,2143,D24612,1827,141,130,100,#8d8264,1230
2006,2006,D22684,1827,141,136,122,#8d887a,1245
2071,2071,D22752,1827,141,145,137,#8d9189,1260
2020,2020,D22698,1827,141,150,146,#8d9692,1275
2028,2028,D22706,1827,141,151,146,#8d9792,1290
2019,2019,D22697,1827,142,141,132,#8e8d84,1305
2163,2163,D24635,1827,143,127,115,#8f7f73,1320
2026,2026,D22704,1827,143,137,126,#8f897e,1335
2022,2022,D22700,1827,143,147,140,#8f938c,1350
2066,2066,D22747,1827,143,149,140,#8f958c,1365
2063,2063,D22744,1827,144,144,135,#909087,1380
2044,2044,D22724,1827,145,140,125,#918c7d,1395
2070,2070,D22751,1827,145,152,143,#91988f,1410
2074,2074,D22755,1827,145,152,146,#919892,1425
2078,2078,D22759,1827,145,154,144,#919a90,1440
2059,2059,D22740,1827,146,140,122,#928c7a,1455
2085,2085,D22767,1827,147,145,123,#93917b,1470
2030,2030,D22708,1827,147,148,139,#93948b,1485
2008,2008,D22686,1827,147,150,143,#93968f,1500
2031,2031,D22709,1827,147,154,146,#939a92,1515
2068,2068,D22749,1827,148,138,132,#948a84,1530
2012,2012,D22690,1827,148,141,125,#948d7d,1545
2077,2077,D22758,1827,149,134,121,#958679,1560
2032,2032,D22710,1827,150,140,108,#968c6c,1575
2587,2587,D25342,1827,151,133,104,#978568,1590
2027,2027,D22705,1827,151,145,129,#979181,1605
2050,2050,D22731,1827,151,149,136,#979588,1620
2093,2093,D22777,1827,152,125,104,#987d68,1635
1988,1988,D22666,1827,152,143,118,#988f76,1650
2040,2040,D22719,1827,152,143,121,#988f79,1665
2007,2007,D22685,1827,154,150,141,#9a968d,1680
2067,2067,D22748,1827,154,154,143,#9a9a8f,1695
2090,2090,D22774,1827,155,141,121,#9b8d79,1710
2003,2003,D22681,1827,156,144,126,#9c907e,1725
2004,2004,D22682,1827,156,154,146,#9c9a92,1740
1993,1993,D22671,1827,156,155,143,#9c9b8f,1755
1986,1986,D22664,1827,160,149,125,#a0957d,1770
1999,1999,D22677,1827,161,122,108,#a17a6c,1785
2094,2094,D22778,1827,163,153,135,#a39987,1800
1979,1979,D20787,1827,164,157,140,#a49d8c,1815
1994,1994,D22672,1827,166,160,146,#a6a092,1830
2087,2087,D22769,1827,168,157,128,#a89d80,1845
1974,1974,D20774,1827,169,160,145,#a9a091,1860
1976,1976,D20776,1827,169,163,150,#a9a396,1875
1978,1978,D20783,1827,170,167,155,#aaa79b,1890
1987,1987,D22665,1827,171,156,139,#ab9c8b,1905
2086,2086,D22768,1827,172,162,135,#aca287,1920
1980,1980,D20791,1827,172,166,152,#aca698,1935
1981,1981,D20803,1827,174,157,130,#ae9d82,1950
1973,1973,D20741,1827,190,181,163,#beb5a3,1965
1971,1971,D20608,1827,192,188,174,#c0bcae,1980
2396,2396,D25149,1827,194,176,151,#c2b097,1995
1996,1996,D22674,1827,194,193,179,#c2c1b3,2010
2459,2459,D25212,1827,195,176,151,#c3b097,2025
2385,2385,D25138,1827,195,188,174,#c3bcae,2040
1977,1977,D20781,1827,197,191,173,#c5bfad,2055
2471,2471,D25224,1827,198,180,152,#c6b498,2070
2454,2454,D25207,1827,203,189,163,#cbbda3,2085
2601,2601,D25356,1827,205,190,164,#cdbea4,2100
2624,2624,D25379,1827,207,193,166,#cfc1a6,2115
2632,2632,D25387,1827,212,197,173,#d4c5ad,2130
2441,2441,D25194,1827,217,202,174,#d9caae,2145
2370,2370,D25123,1827,219,208,189,#dbd0bd,2160
2602,2602,D25357,1827,224,217,199,#e0d9c7,2175
2406,2406,D25159,1827,226,211,191,#e2d3bf,2190
4695,4695,N03370,1827,234,240,236,#eaf0ec,2205
4667,4667,N03326,1828,92,76,34,#5c4c22,15
2185,2185,D24657,1828,125,120,108,#7d786c,30
2292,2292,D24766,1828,127,122,104,#7f7a68,45
2672,2672,D25427,1828,143,151,136,#8f9788,60
2190,2190,D24662,1828,144,132,117,#908475,75
2232,2232,D24704,1828,145,132,121,#918479,90
2302,2302,D24778,1828,145,142,137,#918e89,105
2236,2236,D24710,1828,145,148,138,#91948a,120
3162,3162,D29022,1828,146,134,128,#928680,135
3171,3171,D29031,1828,154,132,115,#9a8473,150
3156,3156,D29015,1828,160,134,101,#a08665,165
6155,6155,T09065,1828,172,150,120,#ac9678,180
3969,3969,D36172,1828,173,148,119,#ad9477,195
2393,2393,D25146,1828,176,179,162,#b0b3a2,210
2503,2503,D25256,1828,191,168,138,#bfa88a,225
2417,2417,D25170,1828,191,176,154,#bfb09a,240
2381,2381,D25134,1828,197,181,152,#c5b598,255
2445,2445,D25198,1828,198,187,157,#c6bb9d,270
2452,2452,D25205,1828,202,182,151,#cab697,285
2388,2388,D25141,1828,203,189,174,#cbbdae,300
2389,2389,D25142,1828,207,195,166,#cfc3a6,315
2398,2398,D25151,1828,208,192,163,#d0c0a3,330
2559,2559,D25313,1828,208,204,182,#d0ccb6,345
2498,2498,D25251,1828,209,198,167,#d1c6a7,360
2375,2375,D25128,1828,210,199,185,#d2c7b9,375
2451,2451,D25204,1828,210,200,183,#d2c8b7,390
2431,2431,D25184,1828,211,196,178,#d3c4b2,405
4087,4087,D36306,1828,211,203,183,#d3cbb7,420
2409,2409,D25162,1828,212,195,175,#d4c3af,435
2392,2392,D25145,1828,213,208,189,#d5d0bd,450
2436,2436,D25189,1828,216,193,171,#d8c1ab,465
2556,2556,D25310,1828,216,194,164,#d8c2a4,480
2403,2403,D25156,1828,218,204,171,#daccab,495
2439,2439,D25192,1828,220,205,188,#dccdbc,510
2530,2530,D25284,1828,221,199,172,#ddc7ac,525
2754,2754,D25514,1828,221,211,198,#ddd3c6,540
2691,2691,D25447,1828,224,214,188,#e0d6bc,555
2557,2557,D25311,1828,225,215,192,#e1d7c0,570
2434,2434,D25187,1828,226,212,184,#e2d4b8,585
5540,5540,T07260,1828,228,218,196,#e4dac4,600
2529,2529,D25283,1828,238,224,209,#eee0d1,615
6030,6030,T08819,1829,124,76,51,#7c4c33,15
4835,4835,N04303,1829,152,132,101,#988465,30
1984,1984,D22520,1829,153,182,140,#99b68c,45
5211,5211,T00977,1829,154,141,122,#9a8d7a,60
2474,2474,D25227,1829,157,159,146,#9d9f92,75
2490,2490,D25243,1829,181,171,147,#b5ab93,90
4833,4833,N04301,1829,185,171,147,#b9ab93,105
2523,2523,D25277,1829,193,176,147,#c1b093,120
4834,4834,N04302,1829,198,185,161,#c6b9a1,135
2418,2418,D25171,1829,200,181,149,#c8b595,150
2522,2522,D25276,1829,200,183,152,#c8b798,165
2472,2472,D25225,1829,205,193,166,#cdc1a6,180
5748,5748,T08271,1829,207,190,167,#cfbea7,195
4107,4107,D36327,1829,207,196,181,#cfc4b5,210
2399,2399,D25152,1829,208,198,187,#d0c6bb,225
2493,2493,D25246,1829,210,189,143,#d2bd8f,240
4394,4394,D40262,1829,211,206,185,#d3ceb9,255
2424,2424,D25177,1829,212,202,189,#d4cabd,270
2492,2492,D25245,1829,213,199,180,#d5c7b4,285
4109,4109,D36329,1829,213,203,180,#d5cbb4,300
2382,2382,D25135,1829,219,204,184,#dbccb8,315
2416,2416,D25169,1829,219,209,199,#dbd1c7,330
2463,2463,D25216,1829,221,207,191,#ddcfbf,345
6620,6620,T10066,1829,224,218,201,#e0dac9,360
4102,4102,D36322,1829,225,218,200,#e1dac8,375
4431,4431,D40520,1829,229,221,212,#e5ddd4,390
2395,2395,D25148,1829,230,212,184,#e6d4b8,405
3900,3900,D36089,1830,49,40,28,#31281c,15
5458,5458,T04844,1830,57,43,19,#392b13,30
4512,4512,N01975,1830,59,50,39,#3b3227,45
3913,3913,D36103,1830,74,87,88,#4a5758,60
3910,3910,D36100,1830,75,96,107,#4b606b,75
3898,3898,D36087,1830,76,61,39,#4c3d27,90
2323,2323,D24802,1830,78,66,55,#4e4237,105
3904,3904,D36094,1830,78,95,104,#4e5f68,120
3906,3906,D36096,1830,79,97,105,#4f6169,135
3903,3903,D36093,1830,80,101,110,#50656e,150
2119,2119,D24587,1830,88,94,92,#585e5c,165
3908,3908,D36098,1830,89,100,105,#596469,180
5308,5308,T01852,1830,91,58,36,#5b3a24,195
2146,2146,D24615,1830,93,82,69,#5d5245,210
2595,2595,D25350,1830,95,91,79,#5f5b4f,225
2117,2117,D24585,1830,97,92,84,#615c54,240
3907,3907,D36097,1830,98,101,95,#62655f,255
3914,3914,D36104,1830,99,112,112,#637070,270
4047,4047,D36261,1830,99,117,110,#63756e,285
4058,4058,D36275,1830,100,96,84,#646054,300
2118,2118,D24586,1830,100,111,113,#646f71,315
2155,2155,D24626,1830,102,115,117,#667375,330
2337,2337,D24817,1830,103,87,65,#675741,345
4067,4067,D36284,1830,105,106,93,#696a5d,360
2156,2156,D24627,1830,105,117,116,#697574,375
2334,2334,D24814,1830,108,107,93,#6c6b5d,390
2125,2125,D24593,1830,110,88,65,#6e5841,405
2333,2333,D24812,1830,110,114,104,#6e7268,420
2315,2315,D24794,1830,110,118,112,#6e7670,435
3916,3916,D36107,1830,111,85,57,#6f5539,450
3915,3915,D36105,1830,111,87,59,#6f573b,465
2116,2116,D24584,1830,111,110,109,#6f6e6d,480
4069,4069,D36286,1830,111,111,101,#6f6f65,495
4464,4464,D41469,1830,111,122,122,#6f7a7a,510
3920,3920,D36111,1830,112,101,82,#706552,525
3922,3922,D36113,1830,113,89,60,#71593c,540
2280,2280,D24754,1830,113,120,109,#71786d,555
3902,3902,D36091,1830,114,102,87,#726657,570
2298,2298,D24773,1830,114,119,102,#727766,585
3917,3917,D36108,1830,115,98,76,#73624c,600
2234,2234,D24708,1830,115,117,98,#737562,615
3962,3962,D36164,1830,117,114,101,#757265,630
2324,2324,D24803,1830,117,122,111,#757a6f,645
2154,2154,D24625,1830,117,125,119,#757d77,660
4066,4066,D36283,1830,118,125,118,#767d76,675
3921,3921,D36112,1830,119,97,76,#77614c,690
2233,2233,D24705,1830,120,100,83,#786453,705
2266,2266,D24740,1830,120,112,93,#78705d,720
3899,3899,D36088,1830,120,116,99,#787463,735
2316,2316,D24795,1830,121,125,115,#797d73,750
2353,2353,D24834,1830,122,123,113,#7a7b71,765
2244,2244,D24718,1830,125,127,103,#7d7f67,780
4064,4064,D36281,1830,125,131,124,#7d837c,795
2358,2358,D24880,1830,128,117,88,#807558,810
2309,2309,D24786,1830,129,135,127,#81877f,825
2317,2317,D24796,1830,130,143,131,#828f83,840
2152,2152,D24623,1830,131,146,147,#839293,855
2708,2708,D25467,1830,132,114,96,#847260,870
4061,4061,D36278,1830,133,128,110,#85806e,885
4059,4059,D36276,1830,135,138,127,#878a7f,900
4063,4063,D36280,1830,135,140,115,#878c73,915
2140,2140,D24609,1830,136,141,137,#888d89,930
2460,2460,D25213,1830,137,119,104,#897768,945
2100,2100,D24568,1830,137,125,83,#897d53,960
2356,2356,D24842,1830,137,145,137,#899189,975
2014,2014,D22692,1830,139,138,127,#8b8a7f,990
3901,3901,D36090,1830,140,127,103,#8c7f67,1005
4347,4347,D40103,1830,141,114,92,#8d725c,1020
2138,2138,D24607,1830,141,144,138,#8d908a,1035
2297,2297,D24772,1830,142,138,117,#8e8a75,1050
3919,3919,D36110,1830,143,129,109,#8f816d,1065
2245,2245,D24719,1830,144,143,122,#908f7a,1080
4065,4065,D36282,1830,144,145,131,#909183,1095
2167,2167,D24639,1830,145,124,98,#917c62,1110
2194,2194,D24666,1830,146,114,85,#927255,1125
2147,2147,D24616,1830,146,140,128,#928c80,1140
2132,2132,D24600,1830,147,141,118,#938d76,1155
4020,4020,D36228,1830,147,156,147,#939c93,1170
2367,2367,D24952,1830,147,160,156,#93a09c,1185
3923,3923,D36114,1830,148,135,111,#94876f,1200
2188,2188,D24660,1830,148,141,125,#948d7d,1215
2347,2347,D24827,1830,149,141,131,#958d83,1230
4021,4021,D36229,1830,150,126,103,#967e67,1245
2139,2139,D24608,1830,150,145,124,#96917c,1260
2362,2362,D24930,1830,150,166,171,#96a6ab,1275
2256,2256,D24730,1830,151,147,131,#979383,1290
3961,3961,D36163,1830,151,155,144,#979b90,1305
3955,3955,D36157,1830,152,152,140,#98988c,1320
2326,2326,D24805,1830,153,153,135,#999987,1335
2300,2300,D24775,1830,154,150,133,#9a9685,1350
3869,3869,D36058,1830,155,134,114,#9b8672,1365
3993,3993,D36199,1830,155,139,114,#9b8b72,1380
2133,2133,D24601,1830,155,144,111,#9b906f,1395
7040,7040,T12321,1830,156,135,114,#9c8772,1410
2145,2145,D24614,1830,156,153,130,#9c9982,1425
2305,2305,D24781,1830,156,158,147,#9c9e93,1440
2129,2129,D24597,1830,156,169,159,#9ca99f,1455
2239,2239,D24713,1830,160,141,110,#a08d6e,1470
2149,2149,D24618,1830,161,166,158,#a1a69e,1485
2346,2346,D24826,1830,163,158,149,#a39e95,1500
4009,4009,D36217,1830,164,157,140,#a49d8c,1515
4003,4003,D36210,1830,165,161,149,#a5a195,1530
3446,3446,D34864,1830,166,139,108,#a68b6c,1545
3417,3417,D34308,1830,166,184,181,#a6b8b5,1560
3954,3954,D36156,1830,167,162,149,#a7a295,1575
3953,3953,D36155,1830,167,164,154,#a7a49a,1590
3952,3952,D36154,1830,168,163,151,#a8a397,1605
3418,3418,D34309,1830,168,184,180,#a8b8b4,1620
2248,2248,D24722,1830,169,171,156,#a9ab9c,1635
4025,4025,D36233,1830,170,138,105,#aa8a69,1650
4030,4030,D36239,1830,170,155,129,#aa9b81,1665
2130,2130,D24598,1830,170,182,169,#aab6a9,1680
3419,3419,D34314,1830,171,189,187,#abbdbb,1695
3698,3698,D35876,1830,172,160,139,#aca08b,1710
2159,2159,D24631,1830,172,189,190,#acbdbe,1725
2160,2160,D24632,1830,173,190,191,#adbebf,1740
2157,2157,D24628,1830,174,191,191,#aebfbf,1755
2314,2314,D24793,1830,174,192,193,#aec0c1,1770
3695,3695,D35873,1830,175,154,123,#af9a7b,1785
2368,2368,D24959,1830,175,183,169,#afb7a9,1800
2158,2158,D24629,1830,175,189,180,#afbdb4,1815
2344,2344,D24824,1830,176,161,141,#b0a18d,1830
2193,2193,D24665,1830,176,166,140,#b0a68c,1845
2150,2150,D24619,1830,176,193,192,#b0c1c0,1860
2153,2153,D24624,1830,176,193,193,#b0c1c1,1875
2365,2365,D24943,1830,177,192,186,#b1c0ba,1890
2151,2151,D24620,1830,177,194,195,#b1c2c3,1905
2161,2161,D24633,1830,177,194,195,#b1c2c3,1920
2318,2318,D24797,1830,177,195,196,#b1c3c4,1935
2351,2351,D24832,1830,178,181,169,#b2b5a9,1950
2123,2123,D24591,1830,178,195,196,#b2c3c4,1965
2136,2136,D24605,1830,179,192,184,#b3c0b8,1980
2348,2348,D24829,1830,180,175,147,#b4af93,1995
3413,3413,D33946,1830,180,176,164,#b4b0a4,2010
2144,2144,D24613,1830,180,188,178,#b4bcb2,2025
2124,2124,D24592,1830,180,191,187,#b4bfbb,2040
2313,2313,D24792,1830,180,197,197,#b4c5c5,2055
3822,3822,D36004,1830,181,172,151,#b5ac97,2070
2364,2364,D24941,1830,181,197,192,#b5c5c0,2085
2319,2319,D24798,1830,181,198,199,#b5c6c7,2100
2369,2369,D25120,1830,181,200,199,#b5c8c7,2115
2331,2331,D24810,1830,182,194,184,#b6c2b8,2130
2329,2329,D24808,1830,183,175,161,#b7afa1,2145
4026,4026,D36234,1830,183,175,164,#b7afa4,2160
4345,4345,D40081,1830,183,179,152,#b7b398,2175
2131,2131,D24599,1830,183,185,173,#b7b9ad,2190
3868,3868,D36057,1830,184,158,129,#b89e81,2205
3748,3748,D35930,1830,184,168,140,#b8a88c,2220
4013,4013,D36221,1830,184,168,140,#b8a88c,2235
3870,3870,D36059,1830,186,171,130,#baab82,2250
2366,2366,D24949,1830,186,199,190,#bac7be,2265
3812,3812,D35994,1830,187,169,140,#bba98c,2280
3897,3897,D36086,1830,188,166,140,#bca68c,2295
3811,3811,D35993,1830,188,175,151,#bcaf97,2310
3412,3412,D33944,1830,188,182,171,#bcb6ab,2325
3691,3691,D35869,1830,189,159,132,#bd9f84,2340
3959,3959,D36161,1830,189,167,134,#bda786,2355
3755,3755,D35937,1830,189,169,139,#bda98b,2370
3690,3690,D35867,1830,189,173,145,#bdad91,2385
4037,4037,D36248,1830,189,175,144,#bdaf90,2400
3879,3879,D36068,1830,189,176,145,#bdb091,2415
3810,3810,D35992,1830,189,186,168,#bdbaa8,2430
2254,2254,D24728,1830,190,189,169,#bebda9,2445
3821,3821,D36003,1830,190,196,179,#bec4b3,2460
4346,4346,D40082,1830,190,197,185,#bec5b9,2475
4011,4011,D36219,1830,191,173,144,#bfad90,2490
3801,3801,D35983,1830,191,174,150,#bfae96,2505
3875,3875,D36064,1830,191,179,153,#bfb399,2520
3819,3819,D36001,1830,191,183,163,#bfb7a3,2535
3757,3757,D35939,1830,192,173,146,#c0ad92,2550
3689,3689,D35866,1830,192,177,151,#c0b197,2565
3721,3721,D35902,1830,192,187,165,#c0bba5,2580
4381,4381,D40191,1830,193,165,132,#c1a584,2595
2391,2391,D25144,1830,193,171,141,#c1ab8d,2610
2928,2928,D27687,1830,193,179,154,#c1b39a,2625
3827,3827,D36014,1830,193,181,151,#c1b597,2640
3672,3672,D35846,1830,193,185,162,#c1b9a2,2655
3440,3440,D34461,1830,193,187,168,#c1bba8,2670
4007,4007,D36214,1830,194,174,149,#c2ae95,2685
2591,2591,D25346,1830,194,184,164,#c2b8a4,2700
3867,3867,D36056,1830,194,187,166,#c2bba6,2715
3700,3700,D35878,1830,194,188,166,#c2bca6,2730
3850,3850,D36038,1830,194,188,168,#c2bca8,2745
3711,3711,D35890,1830,195,164,126,#c3a47e,2760
3447,3447,D34865,1830,195,167,134,#c3a786,2775
3732,3732,D35914,1830,195,175,151,#c3af97,2790
3746,3746,D35928,1830,195,178,156,#c3b29c,2805
3439,3439,D34460,1830,195,188,170,#c3bcaa,2820
3664,3664,D35837,1830,196,176,149,#c4b095,2835
4377,4377,D40174,1830,196,186,160,#c4baa0,2850
3994,3994,D36200,1830,197,175,141,#c5af8d,2865
2926,2926,D27685,1830,197,181,156,#c5b59c,2880
3802,3802,D35984,1830,197,183,153,#c5b799,2895
3752,3752,D35934,1830,197,187,163,#c5bba3,2910
3705,3705,D35883,1830,197,187,169,#c5bba9,2925
3426,3426,D34390,1830,197,189,172,#c5bdac,2940
3837,3837,D36024,1830,197,194,177,#c5c2b1,2955
3880,3880,D36069,1830,198,188,165,#c6bca5,2970
2349,2349,D24830,1830,198,193,163,#c6c1a3,2985
3893,3893,D36082,1830,199,180,149,#c7b495,3000
6693,6693,T10259,1830,199,183,157,#c7b79d,3015
3688,3688,D35865,1830,199,185,163,#c7b9a3,3030
3977,3977,D36181,1830,199,186,158,#c7ba9e,3045
3707,3707,D35885,1830,199,187,157,#c7bb9d,3060
3926,3926,D36117,1830,199,187,161,#c7bba1,3075
3967,3967,D36170,1830,199,191,165,#c7bfa5,3090
4078,4078,D36297,1830,199,191,170,#c7bfaa,3105
3411,3411,D33742,1830,199,197,181,#c7c5b5,3120
2289,2289,D24763,1830,199,199,182,#c7c7b6,3135
3804,3804,D35986,1830,200,177,129,#c8b181,3150
2552,2552,D25306,1830,200,179,148,#c8b394,3165
3673,3673,D35848,1830,200,179,152,#c8b398,3180
2932,2932,D27691,1830,200,182,150,#c8b696,3195
3784,3784,D35966,1830,200,184,157,#c8b89d,3210
3787,3787,D35969,1830,200,188,162,#c8bca2,3225
3730,3730,D35912,1830,200,192,171,#c8c0ab,3240
4075,4075,D36294,1830,200,193,174,#c8c1ae,3255
3738,3738,D35920,1830,200,193,176,#c8c1b0,3270
3820,3820,D36002,1830,200,197,178,#c8c5b2,3285
3443,3443,D34588,1830,201,181,149,#c9b595,3300
2936,2936,D27695,1830,201,184,156,#c9b89c,3315
3677,3677,D35852,1830,201,185,153,#c9b999,3330
3703,3703,D35881,1830,201,189,162,#c9bda2,3345
3829,3829,D36016,1830,201,189,166,#c9bda6,3360
4001,4001,D36207,1830,201,193,171,#c9c1ab,3375
3445,3445,D34813,1830,201,193,174,#c9c1ae,3390
3873,3873,D36062,1830,201,196,180,#c9c4b4,3405
3682,3682,D35857,1830,202,186,155,#caba9b,3420
3975,3975,D36179,1830,202,186,156,#caba9c,3435
3713,3713,D35893,1830,202,188,159,#cabc9f,3450
1655,1655,D17189,1830,202,193,171,#cac1ab,3465
3855,3855,D36043,1830,202,195,175,#cac3af,3480
3861,3861,D36049,1830,202,198,180,#cac6b4,3495
3805,3805,D35987,1830,202,198,181,#cac6b5,3510
3823,3823,D36006,1830,202,199,182,#cac7b6,3525
3414,3414,D33948,1830,202,200,184,#cac8b8,3540
3415,3415,D33950,1830,202,201,185,#cac9b9,3555
2461,2461,D25214,1830,203,183,151,#cbb797,3570
4036,4036,D36247,1830,203,188,157,#cbbc9d,3585
3780,3780,D35962,1830,203,188,158,#cbbc9e,3600
3739,3739,D35921,1830,203,197,177,#cbc5b1,3615
3434,3434,D34433,1830,203,197,185,#cbc5b9,3630
3824,3824,D36007,1830,203,201,184,#cbc9b8,3645
4012,4012,D36220,1830,204,186,154,#ccba9a,3660
3793,3793,D35975,1830,204,186,159,#ccba9f,3675
3667,3667,D35840,1830,204,188,162,#ccbca2,3690
2423,2423,D25176,1830,204,189,160,#ccbda0,3705
3762,3762,D35944,1830,204,191,165,#ccbfa5,3720
3692,3692,D35870,1830,204,192,166,#ccc0a6,3735
4046,4046,D36260,1830,204,193,165,#ccc1a5,3750
3444,3444,D34811,1830,204,196,178,#ccc4b2,3765
3854,3854,D36042,1830,204,198,167,#ccc6a7,3780
4084,4084,D36303,1830,204,199,183,#ccc7b7,3795
3442,3442,D34587,1830,205,184,153,#cdb899,3810
4419,4419,D40489,1830,205,190,161,#cdbea1,3825
3671,3671,D35845,1830,205,191,160,#cdbfa0,3840
2730,2730,D25489,1830,205,192,167,#cdc0a7,3855
5203,5203,T00966,1830,205,193,169,#cdc1a9,3870
3826,3826,D36013,1830,205,196,161,#cdc4a1,3885
3722,3722,D35904,1830,205,196,172,#cdc4ac,3900
3774,3774,D35956,1830,205,197,170,#cdc5aa,3915
3887,3887,D36076,1830,205,198,180,#cdc6b4,3930
3729,3729,D35911,1830,205,200,180,#cdc8b4,3945
3740,3740,D35922,1830,205,200,182,#cdc8b6,3960
2715,2715,D25474,1830,206,178,144,#ceb290,3975
3666,3666,D35839,1830,206,184,155,#ceb89b,3990
3683,3683,D35858,1830,206,187,157,#cebb9d,4005
3928,3928,D36119,1830,206,193,165,#cec1a5,4020
3999,3999,D36205,1830,206,195,173,#cec3ad,4035
3788,3788,D35970,1830,206,197,181,#cec5b5,4050
2931,2931,D27690,1830,207,189,161,#cfbda1,4065
2458,2458,D25211,1830,207,189,165,#cfbda5,4080
3785,3785,D35967,1830,207,193,169,#cfc1a9,4095
3796,3796,D35978,1830,207,197,175,#cfc5af,4110
2450,2450,D25203,1830,207,197,186,#cfc5ba,4125
3800,3800,D35982,1830,207,198,174,#cfc6ae,4140
3985,3985,D36189,1830,207,199,179,#cfc7b3,4155
2940,2940,D27699,1830,207,202,186,#cfcaba,4170
3838,3838,D36025,1830,207,202,188,#cfcabc,4185
