,Unnamed: 0,accession_number,year,r,g,b,hex,value
629,629,D00169,1793,190,181,158,#beb59e,150
646,646,D00388,1793,202,186,159,#caba9f,165
4333,4333,D40038,1793,227,221,202,#e3ddca,180
698,698,D00712,1793,230,222,200,#e6dec8,195
654,654,D00399,1793,235,230,213,#ebe6d5,210
705,705,D00723,1793,236,224,205,#ece0cd,225
4167,4167,D36443,1794,37,35,33,#252321,15
4168,4168,D36444,1794,37,35,33,#252321,30
4190,4190,D36466,1794,37,35,34,#252322,45
4191,4191,D36467,1794,37,35,34,#252322,60
4197,4197,D36473,1794,37,35,34,#252322,75
4147,4147,D36423,1794,38,35,34,#262322,90
4169,4169,D36445,1794,38,35,34,#262322,105
4155,4155,D36431,1794,38,36,34,#262422,120
4165,4165,D36441,1794,38,36,35,#262423,135
4170,4170,D36446,1794,38,36,35,#262423,150
4177,4177,D36453,1794,38,36,35,#262423,165
4193,4193,D36469,1794,38,36,35,#262423,180
4199,4199,D36475,1794,38,36,35,#262423,195
4148,4148,D36424,1794,38,36,36,#262424,210
4189,4189,D36465,1794,38,37,35,#262523,225
4198,4198,D36474,1794,38,37,36,#262524,240
4201,4201,D36477,1794,38,37,36,#262524,255
4145,4145,D36421,1794,39,37,36,#272524,270
4153,4153,D36429,1794,39,37,36,#272524,285
4181,4181,D36457,1794,39,37,36,#272524,300
4183,4183,D36459,1794,39,37,36,#272524,315
4200,4200,D36476,1794,39,37,36,#272524,330
4174,4174,D36450,1794,40,38,36,#282624,345
4176,4176,D36452,1794,40,38,36,#282624,360
4160,4160,D36436,1794,40,38,37,#282625,375
4196,4196,D36472,1794,40,38,37,#282625,390
4151,4151,D36427,1794,41,38,37,#292625,405
4187,4187,D36463,1794,41,39,37,#292725,420
4194,4194,D36470,1794,41,39,37,#292725,435
4150,4150,D36426,1794,41,39,38,#292726,450
4182,4182,D36458,1794,41,39,38,#292726,465
4173,4173,D36449,1794,42,40,37,#2a2825,480
4179,4179,D36455,1794,46,44,41,#2e2c29,495
690,690,D00703,1794,61,57,44,#3d392c,510
680,680,D00691,1794,69,59,47,#453b2f,525
970,970,D02375,1794,76,69,51,#4c4533,540
759,759,D00892,1794,83,75,59,#534b3b,555
682,682,D00693,1794,92,80,61,#5c503d,570
670,670,D00679,1794,97,97,79,#61614f,585
641,641,D00358,1794,118,99,77,#76634d,600
663,663,D00672,1794,130,123,98,#827b62,615
730,730,D00861,1794,140,130,108,#8c826c,630
642,642,D00374,1794,152,146,129,#989281,645
1,1,A00034,1794,174,139,115,#ae8b73,660
684,684,D00696,1794,179,177,158,#b3b19e,675
674,674,D00684,1794,198,198,191,#c6c6bf,690
661,661,D00670,1794,202,192,166,#cac0a6,705
4410,4410,D40335,1794,222,204,185,#deccb9,720
4209,4209,D36485,1794,225,214,192,#e1d6c0,735
4229,4229,D36505,1794,225,214,194,#e1d6c2,750
4203,4203,D36479,1794,225,215,194,#e1d7c2,765
4192,4192,D36468,1794,225,216,199,#e1d8c7,780
697,697,D00711,1794,226,221,202,#e2ddca,795
4222,4222,D36498,1794,227,213,188,#e3d5bc,810
4213,4213,D36489,1794,227,214,194,#e3d6c2,825
4218,4218,D36494,1794,228,214,191,#e4d6bf,840
4231,4231,D36507,1794,228,215,191,#e4d7bf,855
4206,4206,D36482,1794,228,216,194,#e4d8c2,870
4214,4214,D36490,1794,228,216,194,#e4d8c2,885
4202,4202,D36478,1794,228,216,195,#e4d8c3,900
4207,4207,D36483,1794,228,216,195,#e4d8c3,915
4230,4230,D36506,1794,228,217,196,#e4d9c4,930
4210,4210,D36486,1794,229,215,189,#e5d7bd,945
4204,4204,D36480,1794,229,217,195,#e5d9c3,960
4205,4205,D36481,1794,229,217,196,#e5d9c4,975
4208,4208,D36484,1794,229,217,197,#e5d9c5,990
4220,4220,D36496,1794,229,218,195,#e5dac3,1005
4223,4223,D36499,1794,229,218,196,#e5dac4,1020
4226,4226,D36502,1794,229,218,196,#e5dac4,1035
