,year,accession_number,hex,value_x,hex0,hex1,hex2,value_y
157,1782,T08875,#6c4a31,30,#e5d7c0,#745237,#bda488,75
158,1782,N01856,#887c62,45,#6e624a,#b0a387,#cec5a9,45
159,1782,T01014,#b4966e,60,#bc9f76,#8a6946,#e5d1ac,60
160,1782,T08605,#b99164,75,#30261e,#bb9366,#755b3f,15
161,1782,T09694,#e5dfd0,90,#e7e2d3,#645e52,#a8a192,90
162,1783,N04408,#342e23,15,#26211a,#d3cfbe,#6b5c44,15
163,1783,N05807,#3d3e32,30,#dfdac4,#2f2e23,#605f4f,135
164,1783,T06671,#b5a593,45,#b5a593,#372e23,#685b47,45
165,1783,T09262,#c4bea0,60,#ada98d,#dbd2b2,#6d6952,30
166,1783,T08265,#cbc0aa,75,#dbd3c2,#b9a98f,#7c5f40,75
167,1783,T08130,#ccc4b4,90,#dcd2c3,#b8af9f,#c9c1b1,90
168,1783,T08263,#d2c3a3,105,#bea782,#dfd1b3,#8e6740,60
169,1783,T08264,#d2c4a4,120,#ded2b5,#bda580,#845e3b,105
170,1783,T08115,#dbd5c8,135,#ded8cb,#b4aa99,#c9c1b0,120
171,1784,T09336,#c7c6b7,15,#e0d7c7,#6c6049,#acb8ae,15
172,1785,T08113,#786448,15,#705b41,#eae1cf,#afa48c,15
173,1785,T08474,#88704e,30,#7e6545,#b6a789,#e4dbc7,30
174,1785,N05200,#beb7a3,45,#a89f8c,#e5decc,#79715f,45
175,1785,N05183,#cac6c3,60,#e3dcd8,#ada198,#45656d,60
176,1785,T08144,#ddd0bb,75,#ece2d0,#bea991,#6e5e4b,75
177,1786,T08262,#685d4c,15,#685d4d,#a49881,#3c3227,30
178,1786,N02686,#727455,30,#656546,#aea781,#2e2c1a,15
179,1786,D36408,#9c8b6f,45,#a8977b,#7e6a50,#d2cab9,60
180,1786,D36407,#9f8e73,60,#ab9b80,#7e6b51,#d0c9ba,75
181,1786,D36385,#ab9e84,75,#b5a88e,#766852,#8f8269,105
182,1786,D36413,#b5a78e,90,#baac93,#76654d,#ccc2a9,165
183,1786,D36411,#bab09a,105,#b4a892,#cac2ae,#786952,90
184,1786,D36356,#beb096,120,#bcae94,#cec1a7,#76674f,210
185,1786,D36359,#c2b49a,135,#bbac92,#cec1a8,#1b1710,195
186,1786,D36412,#c2b7a2,150,#b9ac95,#cbc2ae,#cfc7b4,150
187,1786,D36401,#c3b69d,165,#b8ab92,#cec2a9,#d4c7af,135
188,1786,D36360,#c4b8a0,180,#baad94,#cdc3aa,#d2c8b3,180
189,1786,T08266,#c7bca5,195,#b5a991,#e1d6c3,#715e4b,120
190,1786,T01019,#cbb38b,210,#c2aa83,#6a593f,#403323,225
191,1786,D36358,#cdbea2,225,#d0c2a6,#c1b195,#d6c8ae,240
192,1786,T08195,#d7d6c7,240,#6a5640,#dbd9ca,#453326,45
193,1786,N04298,#ded3c2,255,#e2d7c7,#b1a595,#7c7060,255
194,1787,T08883,#a88b67,15,#b99b75,#836748,#ded2be,60
195,1787,D00003,#b9b79e,30,#adab91,#6c644b,#d1cfb8,15
196,1787,N04297,#baab92,45,#b5a78d,#7d6c53,#d0c2a6,45
197,1787,D00002,#bdbca7,60,#cfcdbc,#676a4d,#a9a891,75
198,1787,T11683,#bfb4a1,75,#b0a28f,#d6cfbc,#756553,30
199,1787,N04296,#d2cab3,90,#d9d2bc,#b2a58b,#cec3aa,90
200,1787,T09147,#d7d1be,105,#e4decd,#aba790,#cbc3ab,105
201,1787,D00047,#dfdccb,120,#e5e2d1,#adaa8e,#666648,120
202,1787,T08269,#e4ddc2,135,#e7e0c5,#ada78d,#cac6ab,135
203,1787,D00001,#e5e2d1,150,#e9e5d5,#aba38d,#6a614f,150
204,1788,T08469,#b5a58f,15,#b5a58f,#e2d8c8,#7b6a55,15
205,1788,T09461,#d0b88a,30,#bfaa7e,#dec595,#eacc9c,30
206,1788,T10359,#e6d9c4,45,#e7dac5,#7e5c45,#b9a086,45
207,1789,D00018,#242421,15,#f3eddc,#21201b,#1d1f21,315
208,1789,T10664,#8b7b68,30,#9d8c79,#726251,#f1e6d8,30
209,1789,D00042,#8c7f68,45,#776a55,#a99b81,#dfdbc7,15
210,1789,T10665,#a3937f,60,#af9f89,#726251,#f8f0e4,45
211,1789,T10663,#a49582,75,#afa08c,#695d4e,#fbf7ed,60
212,1789,D00049,#aaa181,90,#b3a989,#6d644a,#342c1d,90
213,1789,D00048,#b3aa89,105,#b3a783,#726848,#302b1b,75
214,1789,T08447,#bdac8e,120,#baa88a,#d9caaf,#d0c2a7,120
215,1789,T08449,#c1b29a,135,#b5a48b,#daccb5,#cac1ad,105
216,1789,T08448,#cdbea4,150,#bcaa90,#e0d4bc,#cfc2a9,135
