,accession_number,year,r,g,b,hex,value
3832,D36019,1844,218,211,195,#dad3c3,1
3833,D36020,1830,211,206,189,#d3cebd,1
3834,D36021,1830,210,203,188,#d2cbbc,1
3835,D36022,1844,216,210,191,#d8d2bf,1
3836,D36023,1844,189,186,169,#bdbaa9,1
3837,D36024,1830,197,194,177,#c5c2b1,1
3838,D36025,1830,207,202,188,#cfcabc,1
3839,D36026,1830,214,209,194,#d6d1c2,1
3840,D36027,1844,208,200,186,#d0c8ba,1
3841,D36028,1830,234,228,209,#eae4d1,1
3842,D36029,1844,216,212,201,#d8d4c9,1
3843,D36030,1844,217,209,190,#d9d1be,1
3844,D36031,1830,218,204,174,#daccae,1
3845,D36032,1830,212,200,173,#d4c8ad,1
3846,D36033,1830,220,208,180,#dcd0b4,1
3847,D36034,1830,216,209,190,#d8d1be,1
3848,D36036,1830,218,211,191,#dad3bf,1
3849,D36037,1841,221,215,206,#ddd7ce,1
3850,D36038,1830,194,188,168,#c2bca8,1
3851,D36039,1835,220,209,183,#dcd1b7,1
3852,D36040,1830,225,218,201,#e1dac9,1
3853,D36041,1830,212,205,188,#d4cdbc,1
3854,D36042,1830,204,198,167,#ccc6a7,1
3855,D36043,1830,202,195,175,#cac3af,1
3856,D36044,1830,232,216,193,#e8d8c1,1
3857,D36045,1830,208,202,185,#d0cab9,1
3858,D36046,1844,212,206,187,#d4cebb,1
3859,D36047,1830,216,208,186,#d8d0ba,1
3860,D36048,1840,209,201,168,#d1c9a8,1
3861,D36049,1830,202,198,180,#cac6b4,1
3862,D36050,1830,229,223,205,#e5dfcd,1
3863,D36051,1830,222,215,195,#ded7c3,1
3864,D36052,1830,232,225,204,#e8e1cc,1
3865,D36053,1842,203,190,159,#cbbe9f,1
3866,D36055,1842,206,196,176,#cec4b0,1
3867,D36056,1830,194,187,166,#c2bba6,1
3868,D36057,1830,184,158,129,#b89e81,1
3869,D36058,1830,155,134,114,#9b8672,1
3870,D36059,1830,186,171,130,#baab82,1
3871,D36060,1841,217,204,183,#d9ccb7,1
3872,D36061,1830,211,196,166,#d3c4a6,1
3873,D36062,1830,201,196,180,#c9c4b4,1
3874,D36063,1842,187,176,155,#bbb09b,1
3875,D36064,1830,191,179,153,#bfb399,1
3876,D36065,1841,202,189,166,#cabda6,1
3877,D36066,1841,211,197,173,#d3c5ad,1
3878,D36067,1841,204,197,184,#ccc5b8,1
3879,D36068,1830,189,176,145,#bdb091,1
3880,D36069,1830,198,188,165,#c6bca5,1
3881,D36070,1823,130,120,107,#82786b,1
3882,D36071,1830,215,200,176,#d7c8b0,1
3883,D36072,1825,195,188,162,#c3bca2,1
3884,D36073,1830,217,208,188,#d9d0bc,1
3885,D36074,1830,210,200,178,#d2c8b2,1
3886,D36075,1841,201,191,165,#c9bfa5,1
3887,D36076,1830,205,198,180,#cdc6b4,1
3888,D36077,1840,202,189,165,#cabda5,1
3889,D36078,1835,194,174,140,#c2ae8c,1
3890,D36079,1840,202,187,161,#cabba1,1
3891,D36080,1830,217,205,185,#d9cdb9,1
3892,D36081,1830,219,205,184,#dbcdb8,1
3893,D36082,1830,199,180,149,#c7b495,1
3894,D36083,1836,211,194,169,#d3c2a9,1
3895,D36084,1842,209,203,184,#d1cbb8,1
3896,D36085,1840,191,171,142,#bfab8e,1
3897,D36086,1830,188,166,140,#bca68c,1
3898,D36087,1830,76,61,39,#4c3d27,1
3899,D36088,1830,120,116,99,#787463,1
3900,D36089,1830,49,40,28,#31281c,1
3901,D36090,1830,140,127,103,#8c7f67,1
3902,D36091,1830,114,102,87,#726657,1
3903,D36093,1830,80,101,110,#50656e,1
3904,D36094,1830,78,95,104,#4e5f68,1
3905,D36095,1839,77,93,101,#4d5d65,1
3906,D36096,1830,79,97,105,#4f6169,1
3907,D36097,1830,98,101,95,#62655f,1
3908,D36098,1830,89,100,105,#596469,1
3909,D36099,1839,73,94,103,#495e67,1
3910,D36100,1830,75,96,107,#4b606b,1
3911,D36101,1839,82,99,105,#526369,1
3912,D36102,1839,69,84,87,#455457,1
3913,D36103,1830,74,87,88,#4a5758,1
3914,D36104,1830,99,112,112,#637070,1
3915,D36105,1830,111,87,59,#6f573b,1
3916,D36107,1830,111,85,57,#6f5539,1
3917,D36108,1830,115,98,76,#73624c,1
3918,D36109,1836,167,145,117,#a79175,1
3919,D36110,1830,143,129,109,#8f816d,1
3920,D36111,1830,112,101,82,#706552,1
3921,D36112,1830,119,97,76,#77614c,1
3922,D36113,1830,113,89,60,#71593c,1
3923,D36114,1830,148,135,111,#94876f,1
3924,D36115,1830,216,205,183,#d8cdb7,1
3925,D36116,1830,214,210,193,#d6d2c1,1
3926,D36117,1830,199,187,161,#c7bba1,1
3927,D36118,1820,158,135,102,#9e8766,1
3928,D36119,1830,206,193,165,#cec1a5,1
3929,D36120,1845,183,167,141,#b7a78d,1
3930,D36122,1841,205,192,166,#cdc0a6,1
3931,D36123,1841,208,191,169,#d0bfa9,1
3932,D36124,1843,197,173,145,#c5ad91,1
3933,D36125,1841,208,199,180,#d0c7b4,1
3934,D36126,1842,207,197,174,#cfc5ae,1
3935,D36127,1841,202,185,152,#cab998,1
3936,D36129,1842,199,192,168,#c7c0a8,1
3937,D36131,1842,181,167,141,#b5a78d,1
3938,D36133,1844,221,214,196,#ddd6c4,1
3939,D36135,1844,184,171,144,#b8ab90,1
3940,D36137,1841,222,209,183,#ded1b7,1
3941,D36138,1841,231,210,186,#e7d2ba,1
3942,D36139,1841,188,174,142,#bcae8e,1
3943,D36141,1841,210,201,181,#d2c9b5,1
3944,D36142,1841,214,207,186,#d6cfba,1
3945,D36143,1845,201,184,150,#c9b896,1
3946,D36145,1841,216,216,200,#d8d8c8,1
3947,D36147,1841,208,205,188,#d0cdbc,1
3948,D36150,1840,184,177,166,#b8b1a6,1
3949,D36151,1840,190,185,177,#beb9b1,1
3950,D36152,1840,174,159,145,#ae9f91,1
3951,D36153,1840,181,174,157,#b5ae9d,1
3952,D36154,1830,168,163,151,#a8a397,1
3953,D36155,1830,167,164,154,#a7a49a,1
3954,D36156,1830,167,162,149,#a7a295,1
3955,D36157,1830,152,152,140,#98988c,1
3956,D36158,1840,181,180,176,#b5b4b0,1
3957,D36159,1835,209,188,153,#d1bc99,1
3958,D36160,1830,237,219,189,#eddbbd,1
3959,D36161,1830,189,167,134,#bda786,1
3960,D36162,1840,116,95,69,#745f45,1
3961,D36163,1830,151,155,144,#979b90,1
3962,D36164,1830,117,114,101,#757265,1
3963,D36165,1830,214,202,170,#d6caaa,1
3964,D36166,1841,238,228,208,#eee4d0,1
3965,D36168,1840,195,185,162,#c3b9a2,1
3966,D36169,1841,206,208,194,#ced0c2,1
3967,D36170,1830,199,191,165,#c7bfa5,1
3968,D36171,1842,194,186,167,#c2baa7,1
3969,D36172,1828,173,148,119,#ad9477,1
3970,D36173,1840,209,202,183,#d1cab7,1
3971,D36174,1840,232,211,181,#e8d3b5,1
3972,D36175,1830,229,213,180,#e5d5b4,1
3973,D36176,1836,154,132,107,#9a846b,1
3974,D36177,1841,227,214,186,#e3d6ba,1
3975,D36179,1830,202,186,156,#caba9c,1
3976,D36180,1842,165,169,158,#a5a99e,1
3977,D36181,1830,199,186,158,#c7ba9e,1
3978,D36182,1842,150,149,132,#969584,1
3979,D36183,1841,187,174,151,#bbae97,1
3980,D36184,1843,184,171,142,#b8ab8e,1
3981,D36185,1842,213,204,188,#d5ccbc,1
3982,D36186,1841,207,190,162,#cfbea2,1
3983,D36187,1840,233,223,205,#e9dfcd,1
3984,D36188,1841,206,192,164,#cec0a4,1
3985,D36189,1830,207,199,179,#cfc7b3,1
3986,D36190,1840,217,213,196,#d9d5c4,1
3987,D36191,1830,210,202,182,#d2cab6,1
3988,D36192,1840,162,172,163,#a2aca3,1
3989,D36193,1830,210,196,164,#d2c4a4,1
3990,D36194,1841,228,220,201,#e4dcc9,1
3991,D36195,1844,218,207,186,#dacfba,1
3992,D36197,1844,202,197,179,#cac5b3,1
3993,D36199,1830,155,139,114,#9b8b72,1
3994,D36200,1830,197,175,141,#c5af8d,1
3995,D36201,1841,196,185,163,#c4b9a3,1
3996,D36202,1841,188,193,176,#bcc1b0,1
3997,D36203,1842,197,186,161,#c5baa1,1
3998,D36204,1843,196,187,163,#c4bba3,1
3999,D36205,1830,206,195,173,#cec3ad,1
4000,D36206,1841,226,203,170,#e2cbaa,1
4001,D36207,1830,201,193,171,#c9c1ab,1
4002,D36209,1841,206,206,190,#cecebe,1
4003,D36210,1830,165,161,149,#a5a195,1
4004,D36211,1841,180,151,112,#b49770,1
4005,D36212,1836,188,172,150,#bcac96,1
4006,D36213,1824,183,168,142,#b7a88e,1
4007,D36214,1830,194,174,149,#c2ae95,1
4008,D36216,1841,218,212,195,#dad4c3,1
4009,D36217,1830,164,157,140,#a49d8c,1
4010,D36218,1843,189,173,146,#bdad92,1
4011,D36219,1830,191,173,144,#bfad90,1
4012,D36220,1830,204,186,154,#ccba9a,1
4013,D36221,1830,184,168,140,#b8a88c,1
4014,D36222,1834,192,174,149,#c0ae95,1
4015,D36223,1843,133,105,77,#85694d,1
4016,D36224,1843,169,144,111,#a9906f,1
4017,D36225,1843,209,187,159,#d1bb9f,1
4018,D36226,1836,195,186,169,#c3baa9,1
4019,D36227,1830,215,199,175,#d7c7af,1
4020,D36228,1830,147,156,147,#939c93,1
4021,D36229,1830,150,126,103,#967e67,1
4022,D36230,1836,197,186,166,#c5baa6,1
4023,D36231,1830,227,220,202,#e3dcca,1
4024,D36232,1834,127,95,71,#7f5f47,1
4025,D36233,1830,170,138,105,#aa8a69,1
4026,D36234,1830,183,175,164,#b7afa4,1
4027,D36235,1834,187,138,110,#bb8a6e,1
4028,D36236,1836,180,155,125,#b49b7d,1
4029,D36237,1843,216,208,188,#d8d0bc,1
4030,D36239,1830,170,155,129,#aa9b81,1
4031,D36240,1836,199,179,147,#c7b393,1
4032,D36242,1841,217,206,189,#d9cebd,1
4033,D36243,1842,164,152,123,#a4987b,1
4034,D36244,1844,175,167,142,#afa78e,1
4035,D36246,1841,193,177,147,#c1b193,1
4036,D36247,1830,203,188,157,#cbbc9d,1
4037,D36248,1830,189,175,144,#bdaf90,1
4038,D36249,1843,204,176,144,#ccb090,1
4039,D36250,1844,214,208,189,#d6d0bd,1
4040,D36252,1844,219,212,191,#dbd4bf,1
4041,D36254,1830,218,211,191,#dad3bf,1
4042,D36255,1830,234,230,213,#eae6d5,1
4043,D36257,1843,209,208,190,#d1d0be,1
4044,D36258,1841,186,175,142,#baaf8e,1
4045,D36259,1840,102,84,65,#665441,1
4046,D36260,1830,204,193,165,#ccc1a5,1
4047,D36261,1830,99,117,110,#63756e,1
4048,D36264,1830,213,209,198,#d5d1c6,1
4049,D36266,1830,217,204,180,#d9ccb4,1
4050,D36267,1836,194,178,156,#c2b29c,1
4051,D36268,1841,191,177,151,#bfb197,1
4052,D36269,1830,210,199,179,#d2c7b3,1
4053,D36270,1832,213,206,185,#d5ceb9,1
4054,D36271,1842,210,204,187,#d2ccbb,1
4055,D36272,1842,211,209,194,#d3d1c2,1
4056,D36273,1842,208,200,181,#d0c8b5,1
4057,D36274,1824,174,157,127,#ae9d7f,1
4058,D36275,1830,100,96,84,#646054,1
4059,D36276,1830,135,138,127,#878a7f,1
4060,D36277,1835,104,116,102,#687466,1
4061,D36278,1830,133,128,110,#85806e,1
4062,D36279,1832,116,129,127,#74817f,1
4063,D36280,1830,135,140,115,#878c73,1
4064,D36281,1830,125,131,124,#7d837c,1
4065,D36282,1830,144,145,131,#909183,1
4066,D36283,1830,118,125,118,#767d76,1
4067,D36284,1830,105,106,93,#696a5d,1
4068,D36285,1832,137,149,146,#899592,1
4069,D36286,1830,111,111,101,#6f6f65,1
4070,D36287,1835,139,141,126,#8b8d7e,1
4071,D36288,1835,118,125,116,#767d74,1
4072,D36291,1830,220,213,193,#dcd5c1,1
4073,D36292,1826,201,196,181,#c9c4b5,1
4074,D36293,1845,219,214,202,#dbd6ca,1
4075,D36294,1830,200,193,174,#c8c1ae,1
4076,D36295,1830,212,207,192,#d4cfc0,1
4077,D36296,1840,218,207,196,#dacfc4,1
4078,D36297,1830,199,191,170,#c7bfaa,1
4079,D36298,1830,208,199,177,#d0c7b1,1
4080,D36299,1845,220,214,202,#dcd6ca,1
4081,D36300,1835,208,198,187,#d0c6bb,1
4082,D36301,1845,205,200,190,#cdc8be,1
4083,D36302,1840,209,200,185,#d1c8b9,1
4084,D36303,1830,204,199,183,#ccc7b7,1
4085,D36304,1830,208,197,171,#d0c5ab,1
4086,D36305,1830,210,200,176,#d2c8b0,1
4087,D36306,1828,211,203,183,#d3cbb7,1
4088,D36307,1845,213,206,198,#d5cec6,1
4089,D36308,1845,216,208,197,#d8d0c5,1
4090,D36309,1845,217,212,205,#d9d4cd,1
4091,D36310,1843,204,196,183,#ccc4b7,1
4092,D36311,1834,238,245,236,#eef5ec,1
4093,D36312,1845,204,197,178,#ccc5b2,1
4094,D36314,1837,236,226,204,#ece2cc,1
4095,D36315,1835,208,208,190,#d0d0be,1
4096,D36316,1837,231,225,207,#e7e1cf,1
4097,D36317,1820,198,199,188,#c6c7bc,1
4098,D36318,1820,196,192,176,#c4c0b0,1
4099,D36319,1834,177,165,144,#b1a590,1
4100,D36320,1830,219,204,185,#dbccb9,1
4101,D36321,1837,214,211,197,#d6d3c5,1
4102,D36322,1829,225,218,200,#e1dac8,1
4103,D36323,1834,213,206,187,#d5cebb,1
4104,D36324,1834,129,107,79,#816b4f,1
4105,D36325,1841,210,199,178,#d2c7b2,1
4106,D36326,1834,212,203,181,#d4cbb5,1
4107,D36327,1829,207,196,181,#cfc4b5,1
4108,D36328,1830,208,199,174,#d0c7ae,1
4109,D36329,1829,213,203,180,#d5cbb4,1
4110,D36335,,219,204,174,#dbccae,1
4111,D36336,,224,211,181,#e0d3b5,1
4112,D36337,,221,211,188,#ddd3bc,1
4113,D36338,,215,192,156,#d7c09c,1
4114,D36343,,192,188,172,#c0bcac,1
4115,D36344,,195,190,171,#c3beab,1
4116,D36345,,225,220,200,#e1dcc8,1
4117,D36346,,209,196,167,#d1c4a7,1
4118,D36347,,214,208,189,#d6d0bd,1
4119,D36348,,223,216,191,#dfd8bf,1
4120,D36349,,212,202,177,#d4cab1,1
4121,D36350,,211,207,184,#d3cfb8,1
4122,D36351,,195,192,175,#c3c0af,1
4123,D36352,,192,185,178,#c0b9b2,1
4124,D36353,,216,208,185,#d8d0b9,1
4125,D36354,,229,211,176,#e5d3b0,1
4126,D36355,1796,231,223,200,#e7dfc8,1
4127,D36356,1786,190,176,150,#beb096,1
4128,D36358,1786,205,190,162,#cdbea2,1
4129,D36359,1786,194,180,154,#c2b49a,1
4130,D36360,1786,196,184,160,#c4b8a0,1
4131,D36385,1786,171,158,132,#ab9e84,1
4132,D36401,1786,195,182,157,#c3b69d,1
4133,D36407,1786,159,142,115,#9f8e73,1
4134,D36408,1786,156,139,111,#9c8b6f,1
4135,D36411,1786,186,176,154,#bab09a,1
4136,D36412,1786,194,183,162,#c2b7a2,1
4137,D36413,1786,181,167,142,#b5a78e,1
4138,D36414,1794,233,224,208,#e9e0d0,1
4139,D36415,1794,233,223,205,#e9dfcd,1
4140,D36416,1794,235,225,207,#ebe1cf,1
4141,D36417,1794,235,226,208,#ebe2d0,1
4142,D36418,1794,236,228,211,#ece4d3,1
4143,D36419,1794,235,224,206,#ebe0ce,1
4144,D36420,1794,234,224,205,#eae0cd,1
4145,D36421,1794,39,37,36,#272524,1
4146,D36422,1794,237,227,211,#ede3d3,1
4147,D36423,1794,38,35,34,#262322,1
4148,D36424,1794,38,36,36,#262424,1
4149,D36425,1794,235,227,212,#ebe3d4,1
4150,D36426,1794,41,39,38,#292726,1
4151,D36427,1794,41,38,37,#292625,1
4152,D36428,1794,237,229,215,#ede5d7,1
4153,D36429,1794,39,37,36,#272524,1
4154,D36430,1794,235,226,209,#ebe2d1,1
4155,D36431,1794,38,36,34,#262422,1
4156,D36432,1794,234,225,209,#eae1d1,1
4157,D36433,1794,234,226,211,#eae2d3,1
4158,D36434,1794,236,227,210,#ece3d2,1
4159,D36435,1794,238,230,216,#eee6d8,1
4160,D36436,1794,40,38,37,#282625,1
4161,D36437,1794,236,227,211,#ece3d3,1
4162,D36438,1794,237,228,214,#ede4d6,1
4163,D36439,1794,235,224,204,#ebe0cc,1
4164,D36440,1794,238,230,216,#eee6d8,1
4165,D36441,1794,38,36,35,#262423,1
4166,D36442,1794,236,228,210,#ece4d2,1
4167,D36443,1794,37,35,33,#252321,1
4168,D36444,1794,37,35,33,#252321,1
4169,D36445,1794,38,35,34,#262322,1
4170,D36446,1794,38,36,35,#262423,1
4171,D36447,1794,236,226,208,#ece2d0,1
4172,D36448,1794,236,226,208,#ece2d0,1
4173,D36449,1794,42,40,37,#2a2825,1
4174,D36450,1794,40,38,36,#282624,1
4175,D36451,1794,236,227,212,#ece3d4,1
4176,D36452,1794,40,38,36,#282624,1
4177,D36453,1794,38,36,35,#262423,1
4178,D36454,1794,236,227,210,#ece3d2,1
4179,D36455,1794,46,44,41,#2e2c29,1
4180,D36456,1794,236,227,211,#ece3d3,1
4181,D36457,1794,39,37,36,#272524,1
4182,D36458,1794,41,39,38,#292726,1
4183,D36459,1794,39,37,36,#272524,1
4184,D36460,1794,236,226,209,#ece2d1,1
4185,D36461,1794,237,227,209,#ede3d1,1
4186,D36462,1794,234,224,206,#eae0ce,1
4187,D36463,1794,41,39,37,#292725,1
4188,D36464,1794,235,225,207,#ebe1cf,1
4189,D36465,1794,38,37,35,#262523,1
4190,D36466,1794,37,35,34,#252322,1
4191,D36467,1794,37,35,34,#252322,1
4192,D36468,1794,225,216,199,#e1d8c7,1
4193,D36469,1794,38,36,35,#262423,1
4194,D36470,1794,41,39,37,#292725,1
4195,D36471,1794,236,227,209,#ece3d1,1
4196,D36472,1794,40,38,37,#282625,1
4197,D36473,1794,37,35,34,#252322,1
4198,D36474,1794,38,37,36,#262524,1
4199,D36475,1794,38,36,35,#262423,1
4200,D36476,1794,39,37,36,#272524,1
4201,D36477,1794,38,37,36,#262524,1
4202,D36478,1794,228,216,195,#e4d8c3,1
4203,D36479,1794,225,215,194,#e1d7c2,1
4204,D36480,1794,229,217,195,#e5d9c3,1
4205,D36481,1794,229,217,196,#e5d9c4,1
4206,D36482,1794,228,216,194,#e4d8c2,1
4207,D36483,1794,228,216,195,#e4d8c3,1
4208,D36484,1794,229,217,197,#e5d9c5,1
4209,D36485,1794,225,214,192,#e1d6c0,1
4210,D36486,1794,229,215,189,#e5d7bd,1
4211,D36487,1794,231,219,198,#e7dbc6,1
4212,D36488,1794,231,218,196,#e7dac4,1
4213,D36489,1794,227,214,194,#e3d6c2,1
4214,D36490,1794,228,216,194,#e4d8c2,1
4215,D36491,1794,230,218,196,#e6dac4,1
4216,D36492,1794,230,218,196,#e6dac4,1
4217,D36493,1794,231,219,197,#e7dbc5,1
4218,D36494,1794,228,214,191,#e4d6bf,1
4219,D36495,1794,231,220,198,#e7dcc6,1
4220,D36496,1794,229,218,195,#e5dac3,1
4221,D36497,1794,231,218,196,#e7dac4,1
4222,D36498,1794,227,213,188,#e3d5bc,1
4223,D36499,1794,229,218,196,#e5dac4,1
4224,D36500,1794,231,218,195,#e7dac3,1
4225,D36501,1795,198,186,160,#c6baa0,1
4226,D36502,1794,229,218,196,#e5dac4,1
4227,D36503,1794,230,216,194,#e6d8c2,1
4228,D36504,1794,230,217,194,#e6d9c2,1
4229,D36505,1794,225,214,194,#e1d6c2,1
4230,D36506,1794,228,217,196,#e4d9c4,1
4231,D36507,1794,228,215,191,#e4d7bf,1
4232,D36508,1794,231,218,196,#e7dac4,1
4233,D36522,1796,216,204,180,#d8ccb4,1
4234,D36523,1796,211,197,166,#d3c5a6,1
4235,D36524,1796,228,214,184,#e4d6b8,1
4236,D36525,1795,184,177,153,#b8b199,1
4237,D36526,1796,213,197,166,#d5c5a6,1
4238,D36527,1797,210,198,171,#d2c6ab,1
4239,D36528,1795,185,171,147,#b9ab93,1
4240,D36529,1796,223,216,195,#dfd8c3,1
4241,D36530,1795,199,192,169,#c7c0a9,1
4242,D36531,1795,234,225,207,#eae1cf,1
4243,D36532,1798,205,202,179,#cdcab3,1
4244,D36533,1795,190,183,160,#beb7a0,1
4245,D36534,1797,216,209,192,#d8d1c0,1
4246,D36535,1795,217,204,182,#d9ccb6,1
4247,D36536,1796,221,209,179,#ddd1b3,1
4248,D36537,1797,220,214,193,#dcd6c1,1
4249,D36538,1797,224,219,199,#e0dbc7,1
4250,D36539,1796,212,208,191,#d4d0bf,1
4251,D36540,1795,64,67,60,#40433c,1
4252,D36541,1796,221,219,200,#dddbc8,1
4253,D36542,1796,236,231,213,#ece7d5,1
4254,D36543,1795,203,200,177,#cbc8b1,1
4255,D36544,1795,54,54,49,#363631,1
4256,D36545,1797,204,198,179,#ccc6b3,1
4257,D36546,1797,224,222,204,#e0decc,1
4258,D36547,1798,200,196,178,#c8c4b2,1
4259,D36548,1797,216,213,195,#d8d5c3,1
4260,D36549,1797,214,216,201,#d6d8c9,1
4261,D36550,1797,201,197,182,#c9c5b6,1
4262,D36551,1797,205,197,176,#cdc5b0,1
4263,D36552,1796,210,202,184,#d2cab8,1
4264,D36553,1796,189,173,144,#bdad90,1
4265,D36554,1796,215,208,187,#d7d0bb,1
4266,D36555,1796,216,212,195,#d8d4c3,1
4267,D36556,1797,162,153,131,#a29983,1
4268,D36557,1795,215,211,193,#d7d3c1,1
4269,D36558,1796,223,217,196,#dfd9c4,1
4270,D36559,1796,221,215,193,#ddd7c1,1
4271,D36560,1796,215,213,189,#d7d5bd,1
4272,D36561,1796,196,197,176,#c4c5b0,1
4273,D36562,1795,204,200,184,#ccc8b8,1
4274,D36563,1796,71,70,54,#474636,1
4275,D36564,1796,60,53,38,#3c3526,1
4276,D36565,1796,198,192,173,#c6c0ad,1
4277,D36566,1796,186,184,159,#bab89f,1
4278,D36567,1796,96,91,69,#605b45,1
4279,D36568,1796,207,200,178,#cfc8b2,1
4280,D36569,1796,230,214,185,#e6d6b9,1
4281,D36570,1796,186,172,139,#baac8b,1
4282,D36601,1797,211,204,183,#d3ccb7,1
4283,D36605,1797,198,188,161,#c6bca1,1
4284,D36612,1800,198,184,152,#c6b898,1
4285,D36616,1795,213,202,179,#d5cab3,1
4286,D36617,1795,224,208,173,#e0d0ad,1
4287,D36618,1795,220,211,190,#dcd3be,1
4288,D36619,1795,204,195,176,#ccc3b0,1
4289,D36620,1795,204,193,173,#ccc1ad,1
4290,D36621,1795,203,195,176,#cbc3b0,1
4291,D36622,1795,208,202,185,#d0cab9,1
4292,D36623,1795,204,197,179,#ccc5b3,1
4293,D36624,1795,218,207,187,#dacfbb,1
4294,D36625,1798,174,154,116,#ae9a74,1
4295,D36626,1795,200,188,162,#c8bca2,1
4296,D36627,1797,220,214,194,#dcd6c2,1
4297,D36628,1796,210,205,181,#d2cdb5,1
4298,D36630,1797,189,172,141,#bdac8d,1
4299,D36631,1797,67,59,41,#433b29,1
4300,D36633,1797,199,191,166,#c7bfa6,1
4301,D36635,1797,172,159,128,#ac9f80,1
4302,D36636,1797,206,193,163,#cec1a3,1
4303,D36637,1797,177,158,124,#b19e7c,1
4304,D36638,1797,184,173,147,#b8ad93,1
4305,D36639,1797,177,168,142,#b1a88e,1
4306,D36640,1797,195,186,160,#c3baa0,1
4307,D36641,1797,164,157,132,#a49d84,1
4308,D36642,1797,171,154,120,#ab9a78,1
4309,D36643,1797,136,122,93,#887a5d,1
4310,D36644,1797,162,147,115,#a29373,1
4311,D36645,1797,53,52,40,#353428,1
4312,D36646,1797,111,93,65,#6f5d41,1
4313,D36647,1797,177,176,159,#b1b09f,1
4314,D36648,1796,207,200,173,#cfc8ad,1
4315,D36649,1777,205,188,143,#cdbc8f,1
4316,D36650,,191,183,158,#bfb79e,1
4317,D36651,,183,184,166,#b7b8a6,1
4318,D36652,1798,188,177,151,#bcb197,1
4319,D36654,,222,213,193,#ded5c1,1
4320,D36661,1800,190,189,163,#bebda3,1
4321,D36663,1797,202,198,181,#cac6b5,1
4322,D36664,,197,189,167,#c5bda7,1
4323,D36667,1797,68,70,61,#44463d,1
4324,D36669,,185,183,167,#b9b7a7,1
4325,D36671,,243,237,220,#f3eddc,1
4326,D40000,1805,184,173,154,#b8ad9a,1
4327,D40002,1810,227,219,195,#e3dbc3,1
4328,D40012,,201,193,169,#c9c1a9,1
4329,D40014,1812,216,209,191,#d8d1bf,1
4330,D40023,1802,110,96,77,#6e604d,1
4331,D40025,1810,210,191,158,#d2bf9e,1
4332,D40030,1791,214,196,163,#d6c4a3,1
4333,D40038,1793,227,221,202,#e3ddca,1
4334,D40045,1815,214,193,160,#d6c1a0,1
4335,D40049,1819,212,205,190,#d4cdbe,1
4336,D40050,1819,217,205,181,#d9cdb5,1
4337,D40051,1794,231,223,201,#e7dfc9,1
4338,D40052,1792,210,193,161,#d2c1a1,1
4339,D40055,1796,201,193,173,#c9c1ad,1
4340,D40058,,202,187,156,#cabb9c,1
4341,D40061,,242,238,229,#f2eee5,1
4342,D40062,,232,227,219,#e8e3db,1
4343,D40078,,149,157,146,#959d92,1
4344,D40080,1826,129,111,85,#816f55,1
4345,D40081,1830,183,179,152,#b7b398,1
4346,D40082,1830,190,197,185,#bec5b9,1
4347,D40103,1830,141,114,92,#8d725c,1
4348,D40105,1798,234,225,213,#eae1d5,1
4349,D40106,,103,117,119,#677577,1
4350,D40110,,120,130,125,#78827d,1
4351,D40111,,115,125,118,#737d76,1
4352,D40123,,118,128,120,#768078,1
4353,D40127,,143,155,148,#8f9b94,1
4354,D40129,,147,137,121,#938979,1
4355,D40138,,167,169,155,#a7a99b,1
4356,D40140,,212,205,188,#d4cdbc,1
4357,D40142,,204,197,188,#ccc5bc,1
4358,D40143,,205,200,192,#cdc8c0,1
4359,D40144,,234,227,208,#eae3d0,1
4360,D40146,,178,172,147,#b2ac93,1
4361,D40149,1826,227,216,193,#e3d8c1,1
4362,D40150,,223,222,209,#dfded1,1
4363,D40151,,224,225,211,#e0e1d3,1
4364,D40152,,224,224,211,#e0e0d3,1
4365,D40153,,233,228,214,#e9e4d6,1
4366,D40154,,224,222,208,#e0ded0,1
4367,D40155,,223,223,209,#dfdfd1,1
4368,D40156,,228,226,210,#e4e2d2,1
4369,D40161,,231,223,200,#e7dfc8,1
4370,D40162,,235,228,209,#ebe4d1,1
4371,D40163,,227,220,193,#e3dcc1,1
4372,D40164,,233,227,208,#e9e3d0,1
4373,D40165,1841,212,203,179,#d4cbb3,1
4374,D40169,1844,207,202,183,#cfcab7,1
4375,D40171,1844,219,213,196,#dbd5c4,1
4376,D40173,,215,208,191,#d7d0bf,1
4377,D40174,1830,196,186,160,#c4baa0,1
4378,D40179,,216,207,182,#d8cfb6,1
4379,D40181,1841,206,184,155,#ceb89b,1
4380,D40184,1841,224,217,198,#e0d9c6,1
4381,D40191,1830,193,165,132,#c1a584,1
4382,D40202,1802,186,163,130,#baa382,1
4383,D40218,1793,122,105,83,#7a6953,1
4384,D40228,1791,225,214,184,#e1d6b8,1
4385,D40229,1791,204,197,170,#ccc5aa,1
4386,D40231,1792,185,177,150,#b9b196,1
4387,D40241,,206,192,161,#cec0a1,1
4388,D40245,1792,224,217,196,#e0d9c4,1
4389,D40246,1798,224,212,187,#e0d4bb,1
4390,D40247,1796,221,209,184,#ddd1b8,1
4391,D40249,1798,188,173,142,#bcad8e,1
4392,D40251,1797,222,211,185,#ded3b9,1
4393,D40255,1798,152,132,104,#988468,1
4394,D40262,1829,211,206,185,#d3ceb9,1
4395,D40266,1791,207,194,163,#cfc2a3,1
4396,D40269,1793,186,182,167,#bab6a7,1
4397,D40273,1807,43,41,39,#2b2927,1
