,accession_number,year,r,g,b
227,A00901,1858,226,220,203
228,A00902,1858,223,212,193
229,A00903,1858,221,212,194
230,A00904,1858,214,205,187
231,A00905,1858,216,207,190
232,A00906,1858,220,211,194
233,A00907,1858,222,213,195
234,A00908,1858,206,199,182
235,A01016,1893,236,225,204
236,A01018,1863,65,53,39
237,A01019,1863,57,47,35
238,A01020,1822,96,72,48
239,A01021,,219,203,169
240,A01022,,219,199,164
241,A01023,,218,207,183
242,A01024,1830,231,223,200
243,A01025,1833,209,196,169
244,A01029,1931,51,44,25
245,A01030,1931,215,208,159
246,A01031,1931,58,52,35
247,A01032,1931,54,51,37
248,A01033,1931,135,101,72
249,A01038,1916,147,142,126
250,A01039,1917,200,204,194
251,A01040,1916,203,186,177
252,A01041,1916,182,165,154
253,A01042,1916,191,167,150
254,A01043,1916,170,158,136
255,A01044,1916,223,218,205
256,A01045,1917,173,168,152
257,A01046,1917,189,183,176
258,A01047,1916,169,160,139
259,A01048,1916,220,208,183
260,A01049,1916,204,193,180
261,A01050,1917,208,195,177
262,A01051,1916,131,133,138
263,A01052,1916,172,150,147
264,A01053,1917,220,215,197
265,A01054,1916,164,156,143
266,A01055,1916,194,183,175
267,A01056,1916,192,183,180
268,A01057,1916,147,164,185
269,A01058,1916,180,164,131
270,A01060,1916,175,160,128
271,A01061,1951,210,166,127
272,A01062,1951,214,178,140
273,A01063,1951,213,176,133
274,A01064,1900,206,203,183
275,A01065,,206,187,153
276,A01066,,202,178,145
277,A01067,1899,216,204,175
278,A01068,,206,185,148
279,A01070,,230,224,206
280,A01071,,210,204,184
281,A01072,1902,230,217,195
282,A01073,,225,208,172
283,A01089,1902,207,188,158
284,A01090,1902,184,169,148
285,A01091,1902,135,133,114
286,A01092,1902,154,140,121
287,A01093,1902,201,177,150
288,A01094,1902,191,173,150
289,A01095,1902,153,125,99
290,A01096,1902,156,137,121
291,A01097,1902,213,192,173
292,A01098,1902,197,179,158
293,A01099,1902,178,164,146
294,A01100,1902,181,165,145
295,A01101,1902,185,179,164
296,A01102,1902,206,179,152
297,A01103,1902,198,174,151
298,A01104,1902,186,163,136
299,A01105,1902,192,167,138
300,A01106,1902,159,132,98
301,A01107,1902,187,177,159
302,A01108,1902,124,98,89
303,A01109,1902,188,166,149
304,A01110,1902,186,145,139
305,A01169,1863,207,193,167
306,A01170,1861,213,205,181
307,A01171,1861,160,144,115
308,A01172,1861,197,185,160
309,A01174,,208,205,188
310,A01192,,180,177,151
311,A01193,,188,179,157
312,A01197,,35,34,34
313,A01198,,210,206,188
314,A01200,,42,42,38
315,A01206,,220,207,182
316,A01209,,33,33,33
317,A01211,,35,32,29
318,A01219,,49,46,42
319,A01220,,179,182,173
320,A01222,,231,218,194
321,A01231,,246,240,222
322,A01234,,234,231,213
323,A01237,,248,243,225
324,A01239,,236,228,208
325,A01242,,59,59,56
326,A01243,,87,78,68
327,A01244,,231,221,197
328,A01245,,190,183,157
329,A01246,,230,222,203
330,A01255,,237,229,209
331,A01259,,89,55,48
332,A01260,,235,234,223
333,A01262,,221,204,175
334,A01266,,170,160,137
335,A01267,,238,235,219
336,A01268,,97,71,52
337,A01271,,191,169,140
338,A01273,,195,170,129
339,A01277,,238,235,220
340,A01279,,216,204,175
341,A01280,,195,192,166
342,A01281,,191,188,163
343,A01283,,237,233,216
344,A01284,,45,44,43
345,A01286,,44,43,42
346,A01293,,238,233,215
347,A01294,,233,224,202
348,A01295,,43,43,42
349,A01303,,53,52,52
350,A01304,,243,229,201
351,A01307,,224,210,184
352,A01311,,174,179,171
353,A01313,,42,40,39
354,A01324,,59,51,46
