,accession_number,year,r,g,b
1714,D18134,1823,176,162,130
1715,D18135,1824,186,172,148
1716,D18136,1822,186,177,149
1717,D18137,1822,191,170,133
1718,D18138,1824,159,147,116
1719,D18139,1824,143,132,105
1720,D18140,1824,166,149,115
1721,D18141,1823,179,172,149
1722,D18142,1825,195,172,141
1723,D18143,1824,179,167,148
1724,D18144,1823,182,166,140
1725,D18145,1824,170,154,122
1726,D18146,1824,143,133,106
1727,D18147,1824,151,136,106
1728,D18148,1822,188,167,132
1729,D18149,1824,164,154,127
1730,D18150,1824,136,132,111
1731,D18151,1824,150,141,113
1732,D18152,1824,175,163,137
1733,D18153,1825,173,160,133
1734,D18154,1825,177,163,134
1735,D18155,1823,74,84,77
1736,D18156,1822,185,162,128
1737,D18157,1814,115,103,62
1738,D18158,1823,116,106,84
1739,D18529,1821,211,203,185
1740,D18530,1821,31,25,22
1741,D18568,1821,24,23,21
1742,D18597,1825,27,23,20
1743,D18609,1825,198,198,182
1744,D18611,1825,192,199,186
1745,D18613,1825,190,187,168
1746,D18614,1825,187,184,173
1747,D18615,1825,192,185,171
1748,D18616,1825,33,28,26
1749,D18617,1825,32,28,25
1750,D18618,1825,32,28,27
1751,D18620,1825,29,25,25
1752,D18621,1825,29,26,25
1753,D18622,1825,31,27,25
1754,D18623,1825,35,29,26
1755,D18624,1825,207,199,180
1756,D18625,1825,30,27,25
1757,D18626,1825,204,193,169
1758,D18627,1825,31,26,24
1759,D18628,1825,30,26,25
1760,D18629,1825,211,202,183
1761,D18630,1825,31,27,26
1762,D18631,1825,34,29,27
1763,D18633,1825,32,28,26
1764,D18634,1825,31,28,27
1765,D18635,1825,34,31,29
1766,D18636,1825,33,29,28
1767,D18637,1825,31,28,27
1768,D18638,1825,202,195,175
1769,D18645,1825,38,34,31
1770,D18651,1825,31,30,29
1771,D18652,1825,34,29,27
1772,D18655,1825,32,32,30
1773,D18677,1825,36,31,29
1774,D18679,1825,28,29,28
1775,D18680,1825,230,222,207
1776,D18684,1825,31,31,30
1777,D18691,1825,30,30,29
1778,D18692,1825,35,30,27
1779,D18697,1825,35,31,29
1780,D18698,1825,35,31,28
1781,D18699,1825,30,30,29
1782,D18700,1825,35,30,28
1783,D18701,1825,30,30,29
1784,D18702,1825,35,31,28
1785,D18703,1825,30,30,29
1786,D18704,1825,35,30,27
1787,D18706,1825,31,29,28
1788,D18707,1825,32,27,25
1789,D18708,1825,239,232,219
1790,D18709,1825,32,28,27
1791,D18710,1825,240,237,222
1792,D18711,1825,32,27,26
1793,D18712,1825,240,236,221
1794,D18713,1825,32,28,26
1795,D18714,1825,239,235,221
1796,D18715,1825,33,28,27
1797,D18716,1825,239,234,221
1798,D18717,1825,32,28,26
1799,D18718,1825,238,232,219
1800,D18719,1825,32,27,26
1801,D18720,1825,238,232,219
1802,D18721,1825,32,27,25
1803,D18724,1825,31,26,25
1804,D18725,1825,29,29,28
1805,D18726,1825,234,228,216
1806,D18727,1825,32,27,25
1807,D18728,1825,29,29,28
1808,D18729,1825,33,26,25
1809,D18730,1825,30,29,28
1810,D18731,1825,33,27,25
1811,D18736,1825,30,27,26
1812,D18737,1825,29,29,29
1813,D18738,1825,31,27,26
1814,D18739,1825,30,29,29
1815,D18740,1825,31,27,26
1816,D18741,1825,30,29,28
1817,D18742,1825,30,27,25
1818,D18743,1825,30,29,28
1819,D18744,1825,31,28,27
1820,D18745,1825,233,226,215
1821,D18746,1825,30,27,26
1822,D18747,1825,229,224,208
1823,D18748,1825,30,27,26
1824,D18749,1825,30,30,28
1825,D18750,1825,30,27,26
1826,D18751,1825,32,31,30
1827,D18752,1825,31,27,26
1828,D18753,1825,31,31,29
1829,D18754,1825,30,27,26
1830,D18772,1825,33,29,28
1831,D18773,1825,31,30,30
1832,D18774,1825,33,30,28
1833,D18775,1825,31,30,29
1834,D18776,1825,33,30,29
1835,D18784,1825,32,29,28
1836,D18785,1825,236,231,220
1837,D18804,1825,32,28,27
1838,D18806,1825,31,28,27
1839,D18808,1825,32,28,27
1840,D18810,1825,32,28,27
1841,D18812,1825,32,29,27
1842,D18814,1825,32,28,27
1843,D18815,1825,33,32,29
1844,D18816,1825,32,29,27
1845,D18818,1825,32,29,27
1846,D18820,1825,32,28,27
1847,D18821,1825,35,33,31
1848,D18822,1825,33,32,30
1849,D18823,1825,31,28,27
1850,D18824,1825,32,31,29
1851,D18825,1825,31,28,27
1852,D18826,1825,32,31,29
1853,D18827,1825,31,28,27
1854,D18828,1825,33,31,29
1855,D18829,1825,31,28,27
1856,D18831,1825,31,28,27
1857,D18833,1825,30,26,25
1858,D18834,1825,32,31,29
1859,D18835,1825,23,21,20
1860,D18837,1825,27,24,23
1861,D18838,1825,31,30,28
1862,D18839,1825,31,30,28
1863,D18840,1825,31,30,27
1864,D19553,1824,29,25,22
1865,D19554,1824,21,21,20
1866,D19555,1824,30,26,23
1867,D19556,1824,22,21,21
1868,D19557,1824,228,224,206
1869,D19558,1824,22,21,21
1870,D19559,1824,229,222,206
1871,D19560,1824,22,21,21
1872,D19561,1824,227,222,204
1873,D19562,1824,20,20,20
1874,D19563,1824,228,223,206
1875,D19564,1824,20,20,20
1876,D19565,1824,227,222,203
1877,D19566,1824,223,213,196
1878,D19567,1824,228,222,204
1879,D19568,1824,21,20,20
1880,D19569,1824,231,225,206
1881,D20139,1824,153,147,119
1882,D20140,1824,176,166,138
1883,D20146,1824,165,157,135
1884,D20147,1824,173,167,149
1885,D20148,1824,121,111,85
1886,D20207,1826,225,212,189
1887,D20208,1826,235,220,193
1888,D20209,1826,239,225,197
1889,D20210,1826,199,177,148
1890,D20211,1826,197,165,120
1891,D20212,1826,221,212,185
1892,D20213,1826,193,180,155
1893,D20214,1826,219,209,189
1894,D20215,1826,224,209,168
1895,D20216,1826,242,237,214
1896,D20217,1826,247,242,223
1897,D20218,1826,215,203,180
1898,D20219,1826,203,196,178
1899,D20220,1839,165,156,133
1900,D20221,1839,170,161,147
1901,D20222,1839,140,135,126
1902,D20223,1839,162,147,130
1903,D20224,1826,140,135,125
1904,D20225,1826,179,179,164
1905,D20226,1839,142,136,110
1906,D20227,1839,140,128,98
1907,D20228,1839,119,111,99
1908,D20229,1839,137,121,86
1909,D20230,1839,159,161,150
1910,D20231,1826,134,133,118
1911,D20232,1837,143,134,108
1912,D20233,1839,160,162,149
1913,D20234,1839,153,155,143
1914,D20235,1832,151,156,143
1915,D20236,1826,156,144,127
1916,D20237,1839,153,151,141
1917,D20238,1839,158,160,150
1918,D20239,1839,162,157,132
1919,D20240,1839,152,143,125
1920,D20241,1826,137,135,125
1921,D20242,1826,152,148,127
1922,D20244,1839,124,113,94
1923,D20245,1839,125,115,103
1924,D20246,1839,141,120,97
1925,D20247,1839,119,100,84
1926,D20248,1839,125,123,109
1927,D20249,1839,122,110,98
1928,D20250,1826,150,144,116
1929,D20252,1835,145,132,124
1930,D20253,1839,148,146,138
1931,D20254,1839,176,157,133
1932,D20255,1826,166,160,131
1933,D20256,1826,148,153,145
1934,D20257,1826,118,126,123
1935,D20258,1826,138,131,121
1936,D20259,1839,155,158,151
1937,D20260,1826,165,153,132
1938,D20261,1839,151,146,122
1939,D20262,1839,138,134,119
1940,D20263,1839,125,124,113
1941,D20264,1839,129,122,105
1942,D20265,1833,189,186,172
1943,D20266,1839,124,128,118
1944,D20267,1839,187,178,155
1945,D20268,1839,152,155,147
1946,D20269,1839,110,100,82
1947,D20270,1839,139,131,107
1948,D20271,1839,157,152,140
1949,D20272,1839,136,127,112
1950,D20273,1839,151,146,131
1951,D20274,1826,109,117,109
1952,D20275,1839,155,156,140
1953,D20276,1826,154,144,118
1954,D20277,1839,159,160,147
1955,D20278,1826,161,153,134
1956,D20280,1839,133,129,112
1957,D20282,1826,131,112,92
1958,D20283,1839,166,162,146
1959,D20284,1839,110,91,70
1960,D20285,1839,153,142,125
1961,D20286,1839,128,124,109
1962,D20287,1826,191,182,160
1963,D20288,1839,124,126,111
1964,D20289,1839,124,119,101
1965,D20311,1826,161,169,164
1966,D20429,1826,177,189,184
1967,D20433,1826,177,188,181
1968,D20490,1826,156,169,163
1969,D20511,1826,149,160,149
1970,D20607,1827,40,40,41
1971,D20608,1827,192,188,174
1972,D20612,1827,41,41,41
1973,D20741,1827,190,181,163
1974,D20774,1827,169,160,145
1975,D20775,1827,36,36,35
1976,D20776,1827,169,163,150
1977,D20781,1827,197,191,173
1978,D20783,1827,170,167,155
1979,D20787,1827,164,157,140
1980,D20791,1827,172,166,152
1981,D20803,1827,174,157,130
1982,D20817,1827,90,91,79
1983,D22320,1831,30,28,25
1984,D22520,1829,153,182,140
1985,D22663,1827,140,128,107
1986,D22664,1827,160,149,125
1987,D22665,1827,171,156,139
1988,D22666,1827,152,143,118
1989,D22667,1827,100,86,68
1990,D22668,1827,93,83,65
1991,D22669,1827,136,122,103
1992,D22670,1825,153,156,141
1993,D22671,1827,156,155,143
1994,D22672,1827,166,160,146
1995,D22673,1827,117,104,88
1996,D22674,1827,194,193,179
1997,D22675,1827,133,123,107
1998,D22676,1827,134,123,107
1999,D22677,1827,161,122,108
2000,D22678,1827,131,119,106
2001,D22679,1827,125,104,86
2002,D22680,1827,141,126,108
2003,D22681,1827,156,144,126
2004,D22682,1827,156,154,146
2005,D22683,1827,137,114,95
2006,D22684,1827,141,136,122
2007,D22685,1827,154,150,141
2008,D22686,1827,147,150,143
2009,D22687,1827,71,72,66
2010,D22688,1827,111,77,57
2011,D22689,1827,139,144,134
2012,D22690,1827,148,141,125
2013,D22691,1827,137,117,105
2014,D22692,1830,139,138,127
2015,D22693,1827,134,121,106
2016,D22694,1827,115,111,95
2017,D22695,1827,138,135,124
2018,D22696,1827,127,130,125
2019,D22697,1827,142,141,132
2020,D22698,1827,141,150,146
2021,D22699,1827,140,127,111
2022,D22700,1827,143,147,140
2023,D22701,1827,136,137,131
2024,D22702,1827,140,137,124
2025,D22703,1827,123,108,91
2026,D22704,1827,143,137,126
2027,D22705,1827,151,145,129
2028,D22706,1827,141,151,146
2029,D22707,1827,140,140,132
2030,D22708,1827,147,148,139
2031,D22709,1827,147,154,146
2032,D22710,1827,150,140,108
2033,D22711,1827,123,128,124
2034,D22712,1827,133,144,139
2035,D22713,1827,118,98,75
2036,D22714,1827,123,125,115
2037,D22715,1827,139,135,115
2038,D22717,1827,122,119,97
2039,D22718,1827,139,140,125
2040,D22719,1827,152,143,121
2041,D22720,1827,119,119,106
2042,D22721,1827,121,120,103
2043,D22723,1827,107,98,80
2044,D22724,1827,145,140,125
2045,D22726,1827,133,133,121
2046,D22727,1827,123,115,105
2047,D22728,1827,126,110,91
2048,D22729,1827,126,119,102
2049,D22730,1827,121,117,107
2050,D22731,1827,151,149,136
2051,D22732,1827,126,125,109
2052,D22733,1827,123,110,97
2053,D22734,1827,136,136,120
2054,D22735,1827,120,109,93
2055,D22736,1827,126,129,120
2056,D22737,1827,113,113,97
2057,D22738,1827,140,127,98
2058,D22739,1827,134,118,94
2059,D22740,1827,146,140,122
2060,D22741,1827,127,118,102
2061,D22742,1827,127,109,89
2062,D22743,1827,141,120,94
2063,D22744,1827,144,144,135
2064,D22745,1827,138,134,124
2065,D22746,1827,139,130,116
2066,D22747,1827,143,149,140
2067,D22748,1827,154,154,143
2068,D22749,1827,148,138,132
2069,D22750,1827,140,139,128
2070,D22751,1827,145,152,143
2071,D22752,1827,141,145,137
2072,D22753,1827,135,119,93
2073,D22754,1827,141,129,116
2074,D22755,1827,145,152,146
2075,D22756,1827,111,108,96
2076,D22757,1827,137,138,129
2077,D22758,1827,149,134,121
2078,D22759,1827,145,154,144
2079,D22760,1827,138,148,144
2080,D22761,1827,111,122,115
2081,D22762,1827,123,114,102
2082,D22763,1827,137,136,127
2083,D22764,1827,132,122,105
2084,D22765,1827,136,128,114
2085,D22767,1827,147,145,123
2086,D22768,1827,172,162,135
2087,D22769,1827,168,157,128
2088,D22771,1827,129,122,111
2089,D22773,1827,109,105,90
2090,D22774,1827,155,141,121
2091,D22775,1827,122,113,91
2092,D22776,1827,121,106,84
2093,D22777,1827,152,125,104
2094,D22778,1827,163,153,135
2095,D23525,1832,170,162,139
2096,D23527,1832,142,126,96
2097,D23529,1832,165,155,130
2098,D24566,1832,140,147,144
2099,D24567,1832,146,153,146
2100,D24568,1830,137,125,83
2101,D24569,1833,134,128,104
2102,D24570,1825,145,147,136
2103,D24571,1833,196,196,187
2104,D24572,1833,161,160,144
2105,D24573,1826,155,149,134
2106,D24574,1826,165,172,165
2107,D24575,1826,128,125,113
2108,D24576,1832,138,147,143
2109,D24577,1832,136,141,134
2110,D24578,1839,120,117,108
2111,D24579,1826,167,161,147
2112,D24580,1832,151,148,132
2113,D24581,1826,119,116,109
2114,D24582,1826,124,111,92
2115,D24583,1826,129,126,118
2116,D24584,1830,111,110,109
2117,D24585,1830,97,92,84
2118,D24586,1830,100,111,113
2119,D24587,1830,88,94,92
2120,D24588,1839,144,149,142
2121,D24589,1839,119,124,115
2122,D24590,1839,121,125,112
2123,D24591,1830,178,195,196
2124,D24592,1830,180,191,187
2125,D24593,1830,110,88,65
2126,D24594,1832,131,134,127
2127,D24595,1832,129,137,120
2128,D24596,1826,152,157,151
2129,D24597,1830,156,169,159
2130,D24598,1830,170,182,169
2131,D24599,1830,183,185,173
2132,D24600,1830,147,141,118
2133,D24601,1830,155,144,111
2134,D24602,1833,184,182,166
2135,D24604,1833,150,156,150
2136,D24605,1830,179,192,184
2137,D24606,1825,152,151,135
2138,D24607,1830,141,144,138
2139,D24608,1830,150,145,124
2140,D24609,1830,136,141,137
2141,D24610,1839,111,117,111
2142,D24611,1833,158,165,150
2143,D24612,1827,141,130,100
2144,D24613,1830,180,188,178
2145,D24614,1830,156,153,130
2146,D24615,1830,93,82,69
2147,D24616,1830,146,140,128
2148,D24617,1833,120,114,97
2149,D24618,1830,161,166,158
2150,D24619,1830,176,193,192
2151,D24620,1830,177,194,195
2152,D24623,1830,131,146,147
2153,D24624,1830,176,193,193
2154,D24625,1830,117,125,119
2155,D24626,1830,102,115,117
2156,D24627,1830,105,117,116
2157,D24628,1830,174,191,191
2158,D24629,1830,175,189,180
2159,D24631,1830,172,189,190
2160,D24632,1830,173,190,191
2161,D24633,1830,177,194,195
2162,D24634,1839,170,165,149
2163,D24635,1827,143,127,115
2164,D24636,1826,162,166,161
2165,D24637,1826,139,136,126
2166,D24638,1832,126,129,114
2167,D24639,1830,145,124,98
2168,D24640,1835,134,122,96
2169,D24641,1832,103,94,76
2170,D24642,1832,147,148,136
2171,D24643,1832,146,146,125
2172,D24644,1826,143,151,147
2173,D24645,1832,142,144,134
2174,D24646,1832,142,145,132
2175,D24647,1832,93,100,95
2176,D24648,1832,135,136,122
2177,D24649,1832,140,140,126
2178,D24650,1832,141,137,126
2179,D24651,1832,130,122,107
2180,D24652,1832,145,149,138
2181,D24653,1832,128,126,113
2182,D24654,1832,145,142,124
2183,D24655,1832,137,142,132
2184,D24656,1826,161,162,149
2185,D24657,1828,125,120,108
2186,D24658,1826,139,132,115
2187,D24659,1826,137,136,126
2188,D24660,1830,148,141,125
2189,D24661,1826,142,138,123
2190,D24662,1828,144,132,117
2191,D24663,1826,108,110,95
2192,D24664,1839,158,155,141
2193,D24665,1830,176,166,140
2194,D24666,1830,146,114,85
2195,D24667,1832,134,126,109
2196,D24668,1832,139,145,139
2197,D24669,1832,142,146,134
2198,D24670,1832,146,147,132
2199,D24671,1832,105,111,102
2200,D24672,1832,153,152,143
2201,D24673,1832,157,155,143
2202,D24674,1832,147,130,111
2203,D24675,1832,143,137,116
2204,D24676,1832,139,128,111
2205,D24677,1833,193,186,166
2206,D24678,1833,160,151,136
2207,D24679,1833,160,147,122
2208,D24680,1833,155,150,146
2209,D24681,1833,132,131,122
2210,D24682,1833,205,199,180
2211,D24683,1833,198,194,176
2212,D24684,1833,161,152,133
2213,D24685,1833,138,130,116
2214,D24686,1833,119,135,137
2215,D24687,1833,179,177,165
2216,D24688,1833,184,172,146
2217,D24689,1833,162,157,140
2218,D24690,1833,173,163,138
2219,D24691,1833,166,161,146
2220,D24692,1833,146,153,145
2221,D24693,1832,99,91,72
2222,D24694,1833,193,194,187
2223,D24695,1832,153,149,127
2224,D24696,1832,145,146,132
2225,D24697,1833,184,172,141
2226,D24698,1832,151,145,123
2227,D24699,1832,127,132,116
2228,D24700,1832,132,134,123
2229,D24701,1832,134,137,131
2230,D24702,1826,135,132,121
2231,D24703,1826,136,143,138
2232,D24704,1828,145,132,121
2233,D24705,1830,120,100,83
2234,D24708,1830,115,117,98
2235,D24709,1839,133,139,128
2236,D24710,1828,145,148,138
2237,D24711,1839,118,113,98
2238,D24712,1826,144,145,132
2239,D24713,1830,160,141,110
2240,D24714,1832,133,125,102
2241,D24715,1839,169,168,154
2242,D24716,1839,125,126,110
2243,D24717,1839,155,156,143
2244,D24718,1830,125,127,103
2245,D24719,1830,144,143,122
2246,D24720,1832,140,140,115
2247,D24721,1832,143,149,134
2248,D24722,1830,169,171,156
2249,D24723,1839,164,166,154
2250,D24724,1839,144,138,124
2251,D24725,1839,173,168,150
2252,D24726,1826,145,147,137
2253,D24727,1832,134,141,133
2254,D24728,1830,190,189,169
2255,D24729,1832,149,149,133
2256,D24730,1830,151,147,131
2257,D24731,1839,150,133,115
2258,D24732,1839,118,112,92
2259,D24733,1826,159,158,140
2260,D24734,1832,151,149,125
2261,D24735,1839,145,142,123
2262,D24736,1839,139,138,128
2263,D24737,1832,131,132,114
2264,D24738,1832,134,139,134
2265,D24739,1832,150,154,142
2266,D24740,1830,120,112,93
2267,D24741,1839,164,158,141
2268,D24742,1839,140,132,118
2269,D24743,1832,118,125,114
2270,D24744,1832,151,153,132
2271,D24745,1839,121,119,96
2272,D24746,1832,150,152,137
2273,D24747,1832,145,147,129
2274,D24748,1826,154,156,145
2275,D24749,1832,156,158,143
2276,D24750,1826,169,170,156
2277,D24751,1826,189,184,173
2278,D24752,1833,151,155,146
2279,D24753,1839,102,103,91
2280,D24754,1830,113,120,109
2281,D24755,1832,68,49,39
2282,D24756,1826,141,129,107
2283,D24757,1839,196,177,158
2284,D24758,1826,144,138,127
2285,D24759,1826,119,126,117
2286,D24760,1832,153,152,137
2287,D24761,1832,150,146,132
2288,D24762,1826,146,134,113
2289,D24763,1830,199,199,182
2290,D24764,1826,180,164,141
2291,D24765,1826,149,136,109
2292,D24766,1828,127,122,104
2293,D24767,1826,187,187,172
2294,D24768,1826,146,138,115
2295,D24770,1826,161,158,147
2296,D24771,1826,158,158,145
2297,D24772,1830,142,138,117
2298,D24773,1830,114,119,102
2299,D24774,1832,142,148,131
2300,D24775,1830,154,150,133
2301,D24776,1840,166,159,145
2302,D24778,1828,145,142,137
2303,D24779,1827,109,106,86
2304,D24780,1839,130,131,110
2305,D24781,1830,156,158,147
2306,D24782,1839,167,168,152
2307,D24783,1832,151,148,126
2308,D24784,1839,117,121,105
2309,D24786,1830,129,135,127
2310,D24787,1832,150,153,141
2311,D24788,1839,114,115,99
2312,D24789,1839,167,162,137
2313,D24792,1830,180,197,197
2314,D24793,1830,174,192,193
2315,D24794,1830,110,118,112
2316,D24795,1830,121,125,115
2317,D24796,1830,130,143,131
2318,D24797,1830,177,195,196
2319,D24798,1830,181,198,199
2320,D24799,1827,141,119,101
2321,D24800,1826,152,147,123
2322,D24801,1826,137,130,117
2323,D24802,1830,78,66,55
2324,D24803,1830,117,122,111
2325,D24804,1839,149,146,126
2326,D24805,1830,153,153,135
2327,D24806,1839,156,152,139
2328,D24807,1832,134,137,119
2329,D24808,1830,183,175,161
2330,D24809,1839,145,150,141
2331,D24810,1830,182,194,184
2332,D24811,1832,129,143,142
2333,D24812,1830,110,114,104
2334,D24814,1830,108,107,93
2335,D24815,1827,120,119,105
2336,D24816,1832,152,150,135
2337,D24817,1830,103,87,65
2338,D24818,1832,145,146,129
2339,D24819,1832,147,150,141
2340,D24820,1832,168,166,150
2341,D24821,1833,150,150,133
2342,D24822,1832,138,138,126
2343,D24823,1839,176,171,156
2344,D24824,1830,176,161,141
2345,D24825,1826,192,171,141
2346,D24826,1830,163,158,149
2347,D24827,1830,149,141,131
2348,D24829,1830,180,175,147
2349,D24830,1830,198,193,163
2350,D24831,1826,114,101,87
2351,D24832,1830,178,181,169
2352,D24833,1839,139,143,133
2353,D24834,1830,122,123,113
2354,D24835,1832,83,68,60
2355,D24836,1827,89,89,83
2356,D24842,1830,137,145,137
2357,D24868,1827,112,120,114
2358,D24880,1830,128,117,88
2359,D24893,1827,136,138,124
2360,D24895,1827,134,138,127
2361,D24896,1827,133,131,110
2362,D24930,1830,150,166,171
2363,D24935,1826,123,132,126
2364,D24941,1830,181,197,192
2365,D24943,1830,177,192,186
2366,D24949,1830,186,199,190
2367,D24952,1830,147,160,156
2368,D24959,1830,175,183,169
2369,D25120,1830,181,200,199
2370,D25123,1827,219,208,189
2371,D25124,1825,218,209,200
2372,D25125,1825,227,216,185
2373,D25126,1837,228,217,189
2374,D25127,1825,218,208,177
2375,D25128,1828,210,199,185
2376,D25129,1834,217,201,180
2377,D25130,1825,201,186,165
2378,D25131,1832,238,226,207
2379,D25132,1826,191,178,144
2380,D25133,1830,211,204,185
2381,D25134,1828,197,181,152
2382,D25135,1829,219,204,184
2383,D25136,1834,202,193,171
2384,D25137,1820,195,183,167
2385,D25138,1827,195,188,174
2386,D25139,1839,206,186,163
2387,D25140,1820,208,193,175
2388,D25141,1828,203,189,174
2389,D25142,1828,207,195,166
2390,D25143,1833,196,179,146
2391,D25144,1830,193,171,141
2392,D25145,1828,213,208,189
2393,D25146,1828,176,179,162
2394,D25147,1820,166,158,121
2395,D25148,1829,230,212,184
2396,D25149,1827,194,176,151
2397,D25150,1830,220,212,192
2398,D25151,1828,208,192,163
2399,D25152,1829,208,198,187
2400,D25153,1825,213,196,157
2401,D25154,1825,160,148,134
2402,D25155,1820,174,163,136
2403,D25156,1828,218,204,171
2404,D25157,1820,187,171,149
2405,D25158,1834,222,217,199
2406,D25159,1827,226,211,191
2407,D25160,1820,215,199,174
2408,D25161,1836,217,200,178
2409,D25162,1828,212,195,175
2410,D25163,1834,228,216,202
2411,D25164,1820,171,150,116
2412,D25165,1834,196,184,168
2413,D25166,1830,216,204,178
2414,D25167,1820,206,190,160
2415,D25168,1820,205,189,161
2416,D25169,1829,219,209,199
2417,D25170,1828,191,176,154
2418,D25171,1829,200,181,149
2419,D25172,1834,226,210,195
2420,D25173,1820,209,190,165
2421,D25174,1836,198,188,173
2422,D25175,1820,210,198,182
2423,D25176,1830,204,189,160
2424,D25177,1829,212,202,189
2425,D25178,1820,207,188,153
2426,D25179,1825,214,196,167
2427,D25180,1820,226,218,197
2428,D25181,1834,219,210,188
2429,D25182,1820,202,186,155
2430,D25183,1830,211,194,173
2431,D25184,1828,211,196,178
2432,D25185,1830,216,207,197
2433,D25186,1825,225,209,173
2434,D25187,1828,226,212,184
2435,D25188,1820,205,189,157
2436,D25189,1828,216,193,171
2437,D25190,1820,228,217,204
2438,D25191,1820,215,198,169
2439,D25192,1828,220,205,188
2440,D25193,1820,225,210,192
2441,D25194,1827,217,202,174
2442,D25195,1836,205,190,163
2443,D25196,1820,211,200,178
2444,D25197,1820,211,196,178
2445,D25198,1828,198,187,157
2446,D25199,1839,223,206,184
2447,D25200,1820,211,202,170
2448,D25201,1820,205,191,157
2449,D25202,1826,204,198,179
2450,D25203,1830,207,197,186
2451,D25204,1828,210,200,183
2452,D25205,1828,202,182,151
2453,D25206,1820,209,193,166
2454,D25207,1827,203,189,163
2455,D25208,1820,206,192,163
2456,D25209,1820,219,203,168
2457,D25210,1820,227,209,183
2458,D25211,1830,207,189,165
2459,D25212,1827,195,176,151
2460,D25213,1830,137,119,104
2461,D25214,1830,203,183,151
2462,D25215,1832,204,191,165
2463,D25216,1829,221,207,191
2464,D25217,1837,236,225,203
2465,D25218,1837,239,230,207
2466,D25219,1818,233,227,210
2467,D25220,1837,218,202,172
2468,D25221,1832,216,199,170
2469,D25222,1825,222,211,188
2470,D25223,1820,208,187,161
2471,D25224,1827,198,180,152
2472,D25225,1829,205,193,166
2473,D25226,1825,142,127,107
2474,D25227,1829,157,159,146
2475,D25228,1837,232,224,204
2476,D25229,1825,140,143,123
2477,D25230,1820,204,195,166
2478,D25231,1830,225,217,199
2479,D25232,1834,195,182,147
2480,D25233,1820,199,187,153
2481,D25234,1820,215,212,199
2482,D25235,1820,201,191,173
2483,D25236,1820,198,185,153
2484,D25237,1820,203,200,185
2485,D25238,1820,211,192,163
2486,D25239,1820,225,213,189
2487,D25240,1834,204,185,157
2488,D25241,1826,217,212,195
2489,D25242,1819,204,197,167
2490,D25243,1829,181,171,147
2491,D25244,1820,205,197,175
2492,D25245,1829,213,199,180
2493,D25246,1829,210,189,143
2494,D25247,1817,164,150,118
2495,D25248,1820,212,202,169
2496,D25249,1820,189,175,140
2497,D25250,1830,208,190,165
2498,D25251,1828,209,198,167
2499,D25252,1820,217,208,183
2500,D25253,1820,215,209,190
2501,D25254,1820,194,170,126
2502,D25255,1816,183,156,107
2503,D25256,1828,191,168,138
2504,D25257,1820,189,168,130
2505,D25258,1820,205,186,147
2506,D25259,1815,217,200,154
2507,D25260,1811,219,204,172
2508,D25261,1820,209,195,170
2509,D25262,1820,202,202,196
2510,D25263,1820,197,186,157
2511,D25264,1820,194,176,143
2512,D25265,1820,195,174,156
2513,D25266,1825,205,190,169
2514,D25267,1820,204,186,154
2515,D25268,1830,224,207,175
2516,D25269,1820,212,202,181
2517,D25270,1825,198,179,150
2518,D25271,1820,206,189,162
2519,D25272,1825,147,130,103
2520,D25273,1820,208,187,156
2521,D25274,1834,192,174,141
2522,D25276,1829,200,183,152
2523,D25277,1829,193,176,147
2524,D25278,1820,201,185,156
2525,D25279,1820,192,170,132
2526,D25280,1825,98,106,90
2527,D25281,1820,206,188,159
2528,D25282,1825,196,184,158
2529,D25283,1828,238,224,209
2530,D25284,1828,221,199,172
2531,D25285,1820,193,171,147
2532,D25286,1830,226,218,198
2533,D25287,1820,203,186,156
2534,D25288,1825,213,194,155
2535,D25289,1834,208,191,157
2536,D25290,1823,220,210,188
2537,D25291,1820,222,209,179
2538,D25292,1820,217,212,197
2539,D25293,1836,188,173,142
2540,D25294,1825,208,192,163
2541,D25295,1820,209,194,167
2542,D25296,1820,192,189,165
2543,D25297,1831,181,167,146
2544,D25298,1825,218,200,180
2545,D25299,1820,204,187,153
2546,D25300,1820,194,180,137
2547,D25301,1820,213,199,171
2548,D25302,1820,206,193,171
2549,D25303,1820,197,177,136
2550,D25304,1819,215,212,194
2551,D25305,1820,158,161,142
2552,D25306,1830,200,179,148
2553,D25307,1824,123,114,91
2554,D25308,1825,197,180,152
2555,D25309,1820,203,182,157
2556,D25310,1828,216,194,164
2557,D25311,1828,225,215,192
2558,D25312,1824,177,166,137
2559,D25313,1828,208,204,182
2560,D25314,1823,125,128,119
2561,D25315,1820,120,109,89
2562,D25316,1821,205,198,181
2563,D25317,1809,161,150,123
2564,D25318,1825,139,134,111
2565,D25320,1824,163,146,115
2566,D25321,1820,202,189,159
2567,D25322,1822,199,189,161
2568,D25323,1820,211,199,171
2569,D25324,1820,212,208,189
2570,D25325,1820,211,202,179
2571,D25326,1820,216,208,184
2572,D25327,1824,196,189,168
2573,D25328,1824,209,202,174
2574,D25329,1820,187,151,97
2575,D25330,1825,206,202,185
2576,D25331,1825,213,197,179
2577,D25332,1825,192,154,117
2578,D25333,1820,198,186,158
2579,D25334,1823,181,164,132
2580,D25335,1820,192,172,140
2581,D25336,1820,193,172,143
2582,D25337,1820,184,182,168
2583,D25338,1820,201,197,176
2584,D25339,1825,201,194,172
2585,D25340,1820,201,200,183
2586,D25341,1820,199,184,151
2587,D25342,1827,151,133,104
