,id,name,artwork_count,gender,artistId,thumbnailUrl
68,70,"Burton, William Shakespeare",1,Male,70,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/12b0eee208e5d9cfdcfca8db7551585c
69,71,"Butler, Elizabeth",1,Female,71,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/11f1cb668892fe3c8b0386d5f05b7b3e
70,72,"Butler, Mildred Anne",1,Female,72,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5447f53d5ed4faf3467e2d80cc78e242
71,73,"Butler, Samuel",1,Male,73,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9bfb9667cb35c74f93cef84fb4030f00
72,74,"Buvelot, Louis",1,Male,74,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ab037fe64ddb77acfda60220b742df07
73,75,"Cain, Neville",1,Male,75,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3031410f6c878479c869a4017ee1852f
74,76,"Caldecott, Randolph",3,Male,76,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/138683f3b7d2a0bad470cbdad61ca59f
75,77,"Calderon, Philip Hermogenes",4,Male,77,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/dbe66d5cc9b621becc526aec07fda22d
76,78,"Callcott, Sir Augustus Wall",87,Male,78,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a7d6c47d3908b5dca9dc7930f523430d
77,79,"Callow, William",28,Male,79,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7ac8aefad32cf482ca0168a992a56608
78,80,"Calthrop, Claude",1,Male,80,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/8f1096fd229b2dae1bedd123a2e8b678
79,81,"Calvert, Edward",18,Male,81,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/76198b977f72cfca3773255acc510a7f
80,82,"Campion, George B.",1,Male,82,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a49703d65f9d007a2bedb79101c8db00
81,83,"Carline, George",2,Male,83,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/57e7797c44cf9eb00a32a70d2fb40af5
82,84,"Carlisle, George Howard, Ninth Earl of",1,Male,84,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9b0b67b5794295c127b2230d29204ce7
83,85,"Carter, Hugh",1,Male,85,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9f72ae1df4512264c2d1da4b2ca87a0c
84,86,"Carter, Samuel John",1,Male,86,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/68307ee6fd66ba0b4b2b295e638ca896
85,87,"Cattermole, George",11,Male,87,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f4c16aa413ddcc07b728c7855d675158
86,88,"Chalon, Henry Bernard",1,Male,88,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/de852c965558fd9fdbb59a0a31ab69c6
